slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,-1,2,12,8,2,-4,0,0.0
1,-1,1,-1,-1,2,2,-3,-1,0.005
2,1,1,1,4,3,2,2,-2,0.01
3,-3,-5,-5,-9,-11,-8,-5,-5,0.015
4,-1,0,-2,-11,2,-1,1,0,0.02
5,1,-1,3,18,2,0,1,-2,0.025
6,-1,-2,-4,-18,-3,-2,-3,-1,0.03
7,-1,2,6,24,1,-1,0,-1,0.035
8,0,-1,-4,-13,-1,1,0,0,0.04
9,-1,0,-1,0,2,-1,1,1,0.045
10,1,0,-2,-12,-6,0,1,1,0.05
11,0,-1,-2,-2,-11,-3,-3,-2,0.055
12,0,-2,-4,-6,3,2,-1,-1,0.06
13,0,-2,-1,-2,-3,0,0,-2,0.065
14,0,-1,-1,5,0,1,0,-1,0.07
15,-2,-3,-4,-19,-8,-3,-4,-1,0.075
16,-1,-1,-2,0,-3,-2,-1,-1,0.08
17,0,-1,-1,-1,-4,-1,-2,-1,0.085
18,1,1,3,14,12,2,1,0,0.09
19,2,0,-2,-6,1,1,0,2,0.095
20,1,3,1,-3,-4,0,1,-3,0.1
21,0,-1,-1,-33,-17,-5,-1,0,0.105
22,0,-2,3,28,11,1,0,0,0.11
23,-2,0,2,15,15,5,0,-2,0.115
24,2,-1,-1,-1,-4,-2,-1,-1,0.12
25,-1,0,4,13,4,1,3,0,0.125
26,0,0,-1,-4,-2,-3,-3,-1,0.13
27,-2,-3,-2,-8,-6,-1,2,-1,0.135
28,-1,-1,2,13,5,-1,-1,0,0.14
29,0,-2,-5,-10,-5,-3,-1,-1,0.145
30,1,0,-1,-3,-7,0,0,0,0.15
31,1,-1,0,4,3,-2,-1,0,0.155
32,1,2,-2,-6,6,1,0,1,0.16
33,-1,2,-2,2,-4,0,-2,0,0.165
34,-2,-3,0,-4,2,1,2,0,0.17
35,1,1,2,9,1,-1,-1,-2,0.17500000000000002
36,-1,-1,1,-6,-3,-3,-2,-2,0.18
37,0,0,-1,-2,1,0,1,-1,0.185
38,0,1,-3,4,-1,1,1,0,0.19
39,-1,-3,-6,-1,-1,-2,1,-1,0.195
40,-1,-3,-7,-30,-12,-4,-1,0,0.2
41,-1,1,0,3,-2,-3,-1,0,0.20500000000000002
42,-1,-2,6,39,16,1,-1,-3,0.21
43,-2,0,-3,-17,-10,-3,1,0,0.215
44,-1,-1,0,2,-6,-1,-3,-2,0.22
45,-1,0,-3,-11,0,1,-2,-1,0.225
46,-1,-1,-3,-13,-6,-3,-1,0,0.23
