slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,-1,-1,0,-1,0,-2,1,0.0
1,-2,-2,-2,1,-1,-1,0,0,0.005
2,-1,-2,-1,0,0,-2,-2,-3,0.01
3,-2,0,0,0,-1,-2,-1,0,0.015
4,-1,-2,0,-1,-1,-1,0,-1,0.02
5,0,-1,-2,1,-1,-2,0,1,0.025
6,0,-1,-2,-1,-2,-2,0,0,0.03
7,1,-1,0,-3,-1,-2,0,-1,0.035
8,0,-2,0,-2,0,-1,0,-1,0.04
9,1,-2,1,1,-1,1,-2,-1,0.045
10,-1,-2,0,-2,-2,-1,0,0,0.05
11,-1,-1,-3,-1,-2,-2,-1,-1,0.055
12,-1,1,-3,-1,-1,-2,-1,-1,0.06
13,-1,-2,-1,-3,-1,-1,-1,0,0.065
14,-1,-1,-1,0,-1,1,0,-1,0.07
15,-2,-2,0,0,0,-1,0,0,0.075
16,-1,-1,1,-1,0,-1,-1,-1,0.08
17,1,2,2,0,0,-2,0,0,0.085
18,-2,-3,-3,-2,-2,-1,-3,-1,0.09
19,-1,-1,-2,-1,-1,0,-1,-2,0.095
20,-1,0,-1,-2,-2,0,-1,-1,0.1
21,1,0,0,-1,0,-2,-1,-1,0.105
22,0,0,0,-1,-1,1,0,-1,0.11
23,-1,1,-1,0,-2,-1,0,-2,0.115
24,1,0,-1,0,0,-1,-2,-2,0.12
25,0,0,-2,-3,-2,-1,-2,-1,0.125
26,-2,-2,-1,0,0,-1,-3,-1,0.13
27,2,1,0,-1,0,-2,0,-2,0.135
28,-2,1,1,0,-1,-1,0,-2,0.14
29,0,0,0,1,1,-1,0,-1,0.145
30,1,-1,-3,-3,-1,-1,2,-1,0.15
31,-2,-1,1,0,-1,-1,-2,-2,0.155
32,1,-2,-2,0,-2,2,0,-1,0.16
33,-2,1,0,0,0,-1,-1,0,0.165
34,-3,-1,-1,0,-1,-1,0,-1,0.17
35,0,-2,0,-2,-1,0,-2,1,0.17500000000000002
36,-1,-1,0,-1,1,0,-1,0,0.18
37,-2,-1,-1,-1,-1,-1,-1,-2,0.185
38,1,-1,0,-1,-2,-2,-2,-1,0.19
39,-1,0,-1,-2,-1,1,-1,0,0.195
40,2,-3,-1,-2,-2,-3,-1,0,0.2
41,1,-2,-1,0,0,0,0,-1,0.20500000000000002
42,-1,0,2,-1,-2,-2,-1,-1,0.21
43,0,-2,-2,-1,-2,-1,-2,-2,0.215
44,-2,0,-1,-3,-1,-2,-2,-1,0.22
45,0,-2,-2,-2,-1,-2,-2,-2,0.225
46,0,0,0,-1,-1,1,2,0,0.23
47,-1,-1,-1,0,-1,0,-1,0,0.23500000000000001
48,0,-2,-1,-3,-1,-2,-3,0,0.24
49,-1,0,1,-1,-2,-3,-1,-1,0.245
50,-2,-3,-1,0,0,-1,-2,-3,0.25
51,-1,-1,-1,0,0,0,0,0,0.255
52,-2,-1,-1,0,1,0,1,0,0.26
53,1,-2,0,-2,0,-1,0,-1,0.265
54,0,0,-1,-1,-1,0,0,-2,0.27
55,-1,-1,0,-1,0,-2,-1,-1,0.275
56,1,1,0,-1,-2,0,2,1,0.28
57,-2,-1,-2,-1,-3,0,-1,0,0.28500000000000003
58,-1,-2,-1,-1,-3,0,-1,0,0.29
59,-2,-1,-1,-1,-3,-4,0,0,0.295
60,-1,1,0,1,-1,-1,-3,0,0.3
61,1,0,0,0,0,1,1,-1,0.305
62,-1,-1,-1,-1,0,-1,-3,1,0.31
63,-1,-1,-3,-2,1,-1,-2,-1,0.315
64,-2,0,-1,-1,0,-2,-2,-1,0.32
65,-1,-1,-2,-2,0,-2,-1,-1,0.325
66,-1,0,-1,-1,0,-1,1,0,0.33
67,0,1,1,-1,-1,1,0,0,0.335
68,-1,0,-1,-1,-2,-2,-1,-1,0.34
69,1,0,-1,0,-1,1,-1,0,0.34500000000000003
70,0,1,0,0,0,-2,-1,-1,0.35000000000000003
71,0,-2,-1,0,-1,-2,0,0,0.355
72,1,0,0,0,-1,-3,-1,0,0.36
73,-2,-1,1,-1,-1,-1,-2,-1,0.365
74,-2,-2,-1,-1,0,0,0,-2,0.37
75,0,-1,-2,-3,1,-1,-2,-1,0.375
76,0,-1,0,1,0,2,-1,1,0.38
77,-1,-2,-2,1,1,-1,0,-1,0.385
78,0,0,0,0,1,-1,1,-1,0.39
79,-1,-1,-1,-2,0,0,0,-1,0.395
80,0,0,3,0,0,-1,-1,-2,0.4
81,-2,-4,-5,-2,-2,-4,-4,-1,0.405
82,-1,-2,-3,-2,1,2,2,0,0.41000000000000003
83,0,0,0,0,0,1,0,-2,0.41500000000000004
84,0,-2,-2,-2,1,-1,0,0,0.42
85,-1,0,1,2,-2,1,0,0,0.425
86,-1,1,0,-1,-1,-3,-1,1,0.43
87,-1,-2,-3,-1,-1,-2,-1,0,0.435
88,1,0,-2,0,-3,-2,0,-1,0.44
89,1,0,0,1,0,-2,-4,-1,0.445
90,1,-2,-1,1,0,-3,-4,0,0.45
91,-1,-1,0,-1,1,0,0,1,0.455
92,-2,-2,-1,-2,-2,-1,-2,-1,0.46
93,0,-1,-2,-2,-1,-1,3,0,0.465
94,0,2,3,2,-3,-1,-1,0,0.47000000000000003
95,-2,-1,-2,-2,-2,-3,-1,-2,0.47500000000000003
96,-2,-2,-5,-2,0,-1,-1,0,0.48
97,-1,0,-1,0,-1,-2,-1,0,0.485
98,-1,0,1,-1,-1,3,1,0,0.49
99,-1,-1,1,0,-3,-1,0,0,0.495
100,0,1,2,-1,-1,1,2,-1,0.5
101,-1,0,-1,-3,-1,-2,-2,-3,0.505
102,0,-1,-3,-1,0,0,0,-1,0.51
103,-1,0,-2,0,-1,-1,-1,-1,0.515
104,-2,-2,1,0,-1,-1,0,-1,0.52
105,0,-1,1,1,1,2,0,3,0.525
106,-1,-1,-1,0,-1,-1,-2,-1,0.53
107,-1,2,2,-1,0,-1,0,0,0.535
108,-1,-2,-4,-3,-2,-3,-1,-2,0.54
109,-2,1,-2,-2,-1,1,3,-1,0.545
110,-1,0,-3,-2,-2,-3,-1,-1,0.55
111,-1,1,-1,1,-1,0,-1,-1,0.555
112,0,1,0,1,0,-2,-1,0,0.56
113,0,0,-1,-1,1,-1,0,-1,0.5650000000000001
114,-2,-1,-1,-2,-2,0,-1,-1,0.5700000000000001
115,-1,-2,0,-1,-1,-2,-2,0,0.5750000000000001
116,-1,-1,0,-1,-1,0,-2,-1,0.58
117,-1,-2,0,0,-1,-1,0,0,0.585
118,-1,1,1,1,0,0,2,-1,0.59
119,0,-1,-1,-1,0,-1,0,0,0.595
120,-1,-2,-2,-1,-1,2,0,0,0.6
121,1,1,2,0,-1,-1,-1,1,0.605
122,-2,-2,1,-1,-1,-2,-3,-3,0.61
123,0,-2,-3,1,1,0,-1,-1,0.615
124,-2,-1,-2,-1,0,-2,0,-2,0.62
125,-1,-1,-1,-1,0,-1,0,-2,0.625
126,1,-1,-1,-1,-2,-2,-1,0,0.63
127,-1,0,1,-1,0,-1,-1,-1,0.635
128,-2,-3,-2,0,-1,0,-3,-3,0.64
129,0,-1,-1,-2,-1,0,1,0,0.645
130,1,0,0,-2,-1,-1,1,-1,0.65
131,-2,-1,-1,0,-3,-3,-1,-2,0.655
132,-1,0,0,-2,0,-2,2,1,0.66
133,-1,-2,0,0,0,-2,-3,-2,0.665
134,-1,-1,-3,-2,0,-1,-1,-4,0.67
135,0,0,1,1,0,0,0,-2,0.675
136,-1,0,-1,1,-1,1,-1,-1,0.68
137,-2,-2,-1,0,0,-1,-3,0,0.685
138,0,-2,-2,-2,0,-2,-1,1,0.6900000000000001
139,-1,-3,0,-2,-1,-2,-1,0,0.6950000000000001
140,0,-4,-1,-1,-1,0,0,0,0.7000000000000001
141,-2,-2,1,0,0,-2,-1,-1,0.705
142,-1,0,-2,-1,-1,0,-1,0,0.71
143,-1,0,-2,-2,-2,1,-2,0,0.715
144,2,1,-2,-2,-1,-1,-1,0,0.72
145,1,-1,-4,-1,-1,1,-1,0,0.725
146,0,0,-1,-1,0,-3,0,0,0.73
147,-1,0,0,-2,-1,1,0,2,0.735
148,-1,-2,0,0,0,-3,-2,-1,0.74
149,-1,1,2,1,-1,0,0,-3,0.745
150,-1,0,1,0,-1,0,-3,0,0.75
151,-1,-1,0,-1,0,2,2,-1,0.755
152,-2,-1,0,1,1,0,0,-1,0.76
153,1,-2,1,0,0,-2,-2,-2,0.765
154,0,-2,1,2,-1,0,-2,-3,0.77
155,-2,-2,-3,-3,-2,-3,-5,0,0.775
156,0,1,1,0,0,1,2,1,0.78
157,0,-2,-5,-2,-1,-2,-2,-1,0.785
158,-2,-1,0,0,0,0,-1,-1,0.79
159,-1,0,-4,0,0,-1,-3,-2,0.795
160,-1,0,0,0,-1,0,-1,0,0.8
161,0,0,-1,-2,-1,1,-1,-2,0.805
162,-2,0,-1,-1,-3,-1,-1,-2,0.81
163,-2,0,-1,-1,0,-1,1,-1,0.8150000000000001
164,-2,-1,-1,-2,-1,-1,-2,0,0.8200000000000001
165,-2,1,2,-1,-1,-1,2,0,0.8250000000000001
166,-1,-2,-3,-2,0,-4,-2,-2,0.8300000000000001
167,0,-1,-2,-1,-1,-3,-2,-1,0.835
168,0,1,1,-1,0,0,-2,-1,0.84
169,-2,-2,-1,-4,-3,-1,-1,0,0.845
170,-1,-1,0,0,0,-1,0,2,0.85
171,0,0,0,-1,0,2,3,1,0.855
172,1,-3,0,-3,-2,-1,-2,-3,0.86
173,-1,-1,0,0,-1,-1,-1,0,0.865
174,0,-1,0,1,1,4,1,0,0.87
175,-2,-2,-3,-2,-1,-2,-1,-2,0.875
176,0,0,1,2,-1,-2,1,0,0.88
177,-2,0,-1,-2,1,-1,0,-1,0.885
178,0,0,-3,-1,-3,-2,-1,-1,0.89
179,1,0,0,1,-1,1,-1,-2,0.895
180,-3,1,-3,1,0,-1,-2,0,0.9
181,-2,-1,-1,0,-1,0,0,-2,0.905
182,0,-1,-4,-1,-1,-3,-2,0,0.91
183,0,-1,-1,-2,-2,-1,-1,-2,0.915
184,0,-2,-4,-3,-1,-1,2,3,0.92
185,0,0,0,-1,-1,1,-1,-1,0.925
186,2,3,2,1,1,1,0,0,0.93
187,-1,0,-3,-3,-3,0,1,0,0.935
188,-1,1,0,0,0,0,-1,-2,0.9400000000000001
189,-1,0,-2,0,-1,0,0,0,0.9450000000000001
190,-2,0,0,0,-1,1,-1,-2,0.9500000000000001
191,0,-1,1,0,-1,-2,-3,-2,0.9550000000000001
192,-1,-1,1,-3,-3,-2,3,0,0.96
193,-1,0,1,-1,-2,-1,-1,-1,0.965
194,-2,-3,-2,-1,-1,-2,-1,-1,0.97
195,0,-1,1,1,-1,0,0,0,0.975
196,1,0,0,1,-1,-1,-2,-1,0.98
197,0,-3,-3,0,-1,-2,-1,1,0.985
198,-1,0,1,1,0,0,-1,-1,0.99
199,-1,0,-3,-1,1,0,-1,1,0.995
200,0,0,-2,-2,1,2,2,-1,1.0
201,0,0,1,0,0,-1,0,1,1.0050000000000001
202,-1,0,-1,-3,0,-1,-3,-1,1.01
203,-3,-1,1,-3,-1,-3,-18,-7,1.0150000000000001
204,2,1,1,0,-1,0,11,3,1.02
205,2,1,-1,1,0,1,5,5,1.025
206,0,-1,-1,-3,-2,1,10,2,1.03
207,1,-1,0,0,0,0,7,1,1.035
208,-2,-2,-3,-1,-3,-2,-13,-6,1.04
209,-3,-1,0,-2,-1,-2,-9,-5,1.045
210,0,0,-1,-1,-1,0,0,-2,1.05
211,-1,-1,-1,-2,-1,0,-2,-2,1.055
212,-1,-2,-2,-1,0,0,-4,-2,1.06
213,0,-2,-2,-1,-1,-2,2,1,1.065
214,-1,0,0,0,0,-2,-4,-2,1.07
215,-1,-1,-2,-1,-1,0,3,1,1.075
216,-3,-2,1,-1,-1,-1,-2,-3,1.08
217,-1,-1,-1,-1,-1,0,-5,-4,1.085
