slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,-1,0,-1,-1,0,0,-1,0.0
1,-1,0,-1,-2,0,-1,0,0,0.005
2,-2,-2,-4,-3,-1,-2,-2,-1,0.01
3,-1,-2,-1,0,-2,-1,-1,-1,0.015
4,-2,-1,1,-2,0,-2,-2,-1,0.02
5,-1,-1,-2,-1,-2,-2,0,-2,0.025
6,-1,1,0,0,-2,-1,-1,0,0.03
7,-1,2,2,-1,-1,0,-2,0,0.035
8,-2,-1,-3,1,-1,-1,-1,-2,0.04
9,-1,-1,-2,0,1,2,0,-1,0.045
10,-1,-1,-2,-1,0,-1,-1,0,0.05
11,0,3,1,0,-1,-1,0,-2,0.055
12,-1,-1,-1,-2,-1,0,0,0,0.06
13,0,1,-1,1,-2,-1,-2,-1,0.065
14,2,-1,-1,2,1,1,1,-2,0.07
15,0,-1,-2,-1,0,0,0,0,0.075
16,-1,0,1,0,0,-1,-1,0,0.08
17,-1,0,-2,-1,-1,-1,-1,-1,0.085
18,-1,0,3,-2,-2,-3,-1,-1,0.09
19,-1,0,-2,-1,1,-2,-1,-2,0.095
20,-1,0,-1,-1,-2,-1,1,-3,0.1
21,0,0,1,-2,-1,0,1,0,0.105
22,-1,-1,-1,-1,-2,1,0,0,0.11
23,0,-3,-2,-3,-2,0,-2,-1,0.115
24,0,1,0,0,1,-1,-1,0,0.12
25,-1,0,1,-1,-3,-3,-2,-2,0.125
26,-2,-2,-2,-2,-1,0,0,-2,0.13
27,-1,-1,0,-1,-1,-2,-1,0,0.135
28,-2,-1,-3,-1,-2,0,-1,0,0.14
29,0,0,0,1,0,0,0,-1,0.145
30,0,3,2,1,1,1,1,1,0.15
31,0,-2,-4,0,-2,-1,-1,0,0.155
32,-2,-1,-1,-1,0,-1,1,-1,0.16
33,-1,-1,-1,0,0,-1,-2,-1,0.165
34,-1,2,0,0,-1,-1,-1,-1,0.17
35,0,0,1,-1,0,0,-1,-1,0.17500000000000002
36,-1,1,0,-1,0,0,2,-1,0.18
37,0,-3,1,-2,-1,-2,0,-1,0.185
38,-2,-5,-4,-3,-1,-3,-2,2,0.19
39,0,0,1,1,0,-1,-2,-1,0.195
40,-1,-3,-1,0,-2,-1,-1,-2,0.2
41,0,1,0,-3,-2,-2,-3,-2,0.20500000000000002
42,0,-4,-2,-1,-1,1,0,-2,0.21
43,-1,0,-1,-2,0,1,-1,0,0.215
44,0,-1,-2,-2,0,0,-1,0,0.22
45,-1,-1,0,2,1,0,1,-1,0.225
46,0,-2,-4,1,0,-2,-1,0,0.23
47,0,0,-2,0,-1,0,-1,0,0.23500000000000001
