slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,0,1,0,-1,0,0,1,0.0
1,0,0,3,0,0,-2,0,0,0.005
2,-1,-1,5,5,-1,-1,-1,-1,0.01
3,-1,2,-12,-1,-1,0,-1,0,0.015
4,-1,-1,-8,-3,-2,-1,-1,-1,0.02
5,-2,0,-6,-1,0,1,-2,0,0.025
6,-1,2,5,-1,-1,0,1,1,0.03
7,-1,2,-15,-3,-1,-1,-2,0,0.035
8,-1,-5,12,4,0,-1,-1,-2,0.04
9,1,1,-1,-1,-1,-1,-1,-3,0.045
10,-1,1,3,5,1,-2,-1,0,0.05
11,0,-1,4,-2,-1,-2,0,-1,0.055
12,-1,5,3,1,0,-1,-3,1,0.06
13,-2,-6,-15,-8,-2,-2,0,-2,0.065
14,-1,-2,1,1,-1,0,0,0,0.07
15,-1,-1,5,-1,-3,-2,-1,-2,0.075
16,0,-4,18,3,-1,-1,-2,0,0.08
17,-3,-4,2,4,-3,-1,-1,-1,0.085
18,-1,3,-12,-6,-1,1,-1,-2,0.09
19,-1,-1,3,3,2,1,2,1,0.095
20,-3,-2,-8,5,-3,-1,-1,-3,0.1
21,0,2,13,-3,-1,-1,0,0,0.105
22,0,-1,6,0,0,0,-2,0,0.11
23,2,4,16,11,1,0,0,-1,0.115
24,-4,-13,-2,-9,-1,0,0,-1,0.12
25,0,2,1,3,-1,-1,1,1,0.125
26,-4,-5,-16,-3,-1,-1,0,-1,0.13
27,2,3,-2,0,1,0,-2,0,0.135
28,1,3,13,1,-2,-1,0,0,0.14
29,0,-1,5,2,-1,-1,-1,-2,0.145
30,-2,-1,6,1,1,1,-1,-2,0.15
31,-2,-1,-14,-7,-1,-3,0,-1,0.155
32,-2,2,2,0,-1,-1,-1,-1,0.16
33,0,-2,-7,-5,1,0,0,-1,0.165
34,0,3,8,8,0,-2,-1,0,0.17
35,-4,-1,13,2,-2,-2,-1,-3,0.17500000000000002
36,0,-2,-25,-12,-2,0,0,-2,0.18
37,3,4,14,-1,1,-2,0,0,0.185
38,-4,-11,-10,-3,-1,-1,0,-2,0.19
39,0,-3,6,-5,-1,0,-1,0,0.195
40,0,-3,-15,5,0,-2,-2,-1,0.2
41,-1,-1,4,-1,-3,0,-1,0,0.20500000000000002
42,-2,3,-3,-4,-2,-1,0,0,0.21
43,3,3,-6,-4,-2,-1,0,0,0.215
44,1,2,9,3,-1,-2,-1,0,0.22
45,-1,1,1,1,0,0,-2,0,0.225
46,1,-1,-7,-3,0,0,-2,-1,0.23
47,-2,-5,-5,4,-3,-1,-1,-2,0.23500000000000001
48,0,3,4,3,1,0,-1,-1,0.24
49,-1,-3,-3,2,0,0,-1,-3,0.245
50,0,-3,-3,-2,-1,-1,-1,-1,0.25
51,-2,0,2,0,0,0,-1,-1,0.255
52,-1,-1,-6,0,-2,0,-1,0,0.26
53,-2,-1,2,4,0,0,0,-1,0.265
54,-3,-1,9,3,0,0,-1,-1,0.27
55,-1,-4,-11,-3,1,1,1,0,0.275
56,-1,3,1,1,0,-1,0,-1,0.28
57,-2,-1,-8,-6,1,-2,-3,-1,0.28500000000000003
58,3,6,14,5,0,-1,0,-2,0.29
59,-2,-4,-9,-5,-2,-3,-1,0,0.295
60,-1,-4,13,2,-1,0,1,1,0.3
61,0,1,-1,-5,-1,0,0,0,0.305
62,-6,-6,-11,-2,-3,-2,-1,-2,0.31
63,-1,0,-15,-7,0,0,0,-1,0.315
64,0,0,13,9,0,-2,0,-3,0.32
65,-2,-7,-16,-12,-6,-2,0,-4,0.325
66,2,-1,-22,-3,0,0,2,1,0.33
67,1,-1,4,-4,-2,-1,-1,1,0.335
68,-1,1,-9,5,0,0,-2,0,0.34
69,-2,-2,0,1,0,0,1,1,0.34500000000000003
70,0,0,1,-4,-2,-2,0,0,0.35000000000000003
71,3,5,6,5,-1,0,-1,-1,0.355
72,-2,-11,-20,-12,-1,0,-3,-1,0.36
73,-1,0,2,3,-2,-3,-1,1,0.365
74,1,0,-11,-1,-2,-1,-2,-3,0.37
75,1,1,10,8,1,2,1,1,0.375
76,-1,2,16,-2,-1,1,0,0,0.38
77,-1,-3,-16,3,0,-1,-2,-1,0.385
78,1,2,8,-4,-1,-2,-1,1,0.39
79,-2,-2,-1,0,-1,-2,0,-3,0.395
80,0,1,-9,-1,0,-1,-1,-2,0.4
81,0,-1,6,6,2,0,0,0,0.405
82,0,-1,-4,-7,0,2,-2,0,0.41000000000000003
83,-1,0,15,3,0,-2,-2,0,0.41500000000000004
84,0,-1,-10,0,1,0,-1,0,0.42
85,-1,4,11,5,0,-1,-2,-3,0.425
86,-1,-1,-7,-7,0,0,0,-1,0.43
87,-3,-3,10,0,-1,0,0,-2,0.435
88,1,2,3,0,0,0,1,-2,0.44
89,0,-2,2,-1,-1,0,0,-1,0.445
90,-1,0,11,3,-1,-1,0,-1,0.45
91,-1,-4,-31,-11,-2,-2,-2,-1,0.455
92,0,2,1,-3,-3,-3,-1,-1,0.46
93,-1,1,15,2,2,-1,-1,-1,0.465
94,-1,-2,-8,-4,0,0,0,0,0.47000000000000003
95,1,1,-1,1,1,-1,-1,-1,0.47500000000000003
96,-1,-2,0,-3,-1,-1,-2,-1,0.48
97,0,0,-6,-3,-1,-1,0,1,0.485
98,1,1,15,6,-1,0,1,0,0.49
99,-2,-4,-10,-7,-3,-2,-2,0,0.495
100,-1,2,15,1,-1,0,0,-2,0.5
101,2,0,-17,-9,-1,0,-1,-2,0.505
102,-1,-7,13,2,-1,-2,-1,-1,0.51
103,-2,-3,-10,9,-1,1,-1,-1,0.515
104,-1,0,-3,-4,-3,-1,0,-1,0.52
105,0,-1,-5,1,0,-1,-1,-3,0.525
106,0,2,-3,0,2,2,2,-1,0.53
107,-2,1,8,-1,1,0,0,1,0.535
108,0,-1,-3,1,0,-2,-2,0,0.54
109,-2,-3,-6,-5,-2,-2,-1,1,0.545
110,0,3,14,9,-1,-2,-2,-2,0.55
111,-3,-2,4,-12,-1,-2,1,-1,0.555
112,-1,-1,-10,0,-1,-1,0,0,0.56
113,-1,1,5,6,-1,0,0,-3,0.5650000000000001
114,-1,0,6,-14,-3,-2,-2,-1,0.5700000000000001
115,1,-2,-15,2,-1,-1,2,-1,0.5750000000000001
116,2,2,0,-4,1,1,1,1,0.58
117,0,-2,-1,0,-4,-2,-2,-1,0.585
118,0,0,0,7,1,0,-1,-1,0.59
119,-3,-1,-4,1,-1,0,1,-1,0.595
120,1,2,2,-1,-1,-2,-1,-2,0.6
121,-4,-12,-8,-10,-1,0,-1,0,0.605
122,-1,3,-2,3,-1,-2,-2,-2,0.61
123,-2,-1,-5,-1,-2,0,-2,-1,0.615
124,0,3,2,0,-1,0,-1,-1,0.62
125,1,2,14,-1,0,-2,0,-1,0.625
126,0,0,8,-1,-1,0,0,0,0.63
127,-1,-1,-2,9,1,-1,-2,-1,0.635
128,-2,-5,-16,-13,-3,1,-1,-1,0.64
129,-3,0,1,-3,-1,1,0,-1,0.645
130,0,2,-11,-5,0,0,1,-1,0.65
131,0,1,11,5,-1,-3,-1,-1,0.655
132,-1,-2,14,6,-3,-2,-1,0,0.66
133,-1,0,-1,-1,-1,0,-1,-1,0.665
134,-1,-3,-11,-6,-3,1,-2,-2,0.67
135,0,0,12,-1,-1,-1,-2,0,0.675
136,-2,-4,-12,0,0,-2,-1,-3,0.68
137,1,0,-1,2,-3,-2,1,0,0.685
138,-3,-3,-14,-2,-1,0,-1,-1,0.6900000000000001
139,3,5,-2,-11,-1,3,0,-1,0.6950000000000001
140,-5,-13,6,0,-1,-1,-3,0,0.7000000000000001
141,1,-1,-4,1,1,1,1,0,0.705
142,0,3,-2,4,1,0,-1,-1,0.71
143,-1,0,10,-2,-2,0,0,1,0.715
144,-1,-1,-6,0,0,-1,1,-1,0.72
145,-2,2,6,4,-2,-2,-2,-3,0.725
146,0,-4,-10,-6,-2,-3,-2,-1,0.73
147,-1,0,-13,6,1,-2,-2,-1,0.735
148,1,5,13,8,2,1,-2,0,0.74
149,-3,0,14,3,-1,-2,-2,0,0.745
150,2,4,13,7,0,0,0,1,0.75
151,-3,-6,-15,-3,0,2,1,-1,0.755
152,2,3,4,1,-1,-2,1,0,0.76
