slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,3,-2,-1,0,-1,0,-1,-2,0.0
1,-10,2,-2,3,-3,-2,-1,-1,0.005
2,-2,-4,-2,1,-1,-1,0,0,0.01
3,-1,1,0,-3,-1,-1,0,0,0.015
4,-2,1,-2,-7,-1,0,1,-1,0.02
5,2,0,1,-4,1,0,1,-5,0.025
6,1,0,0,-1,-1,-2,-2,-3,0.03
7,0,-2,-2,-2,-3,-1,-3,-2,0.035
8,-2,1,0,4,-1,-1,-1,0,0.04
9,-1,-3,-2,-2,-2,1,1,1,0.045
10,-2,0,-1,-2,-2,0,-2,-3,0.05
11,1,-1,0,-1,1,0,1,-2,0.055
12,0,-2,1,1,0,-1,0,-4,0.06
13,4,-1,1,-1,-2,-4,0,4,0.065
14,0,1,1,0,0,-2,1,0,0.07
15,-1,-2,-1,-1,1,-2,-1,0,0.075
16,-1,-4,0,0,2,-2,-4,0,0.08
17,-3,-3,0,-1,-1,1,-3,-4,0.085
18,2,-1,-5,-4,-3,0,-2,0,0.09
19,-2,0,-1,1,-1,-1,-1,0,0.095
20,-3,2,-2,-3,1,0,-1,-1,0.1
21,0,-1,-3,-2,0,2,0,-2,0.105
22,-2,-4,1,-1,0,0,0,-2,0.11
23,-2,-1,1,-2,-4,0,1,-3,0.115
24,7,1,-3,1,1,-3,-1,1,0.12
25,-6,-4,-1,2,1,-3,-1,-2,0.125
26,1,1,-2,-1,-1,0,2,2,0.13
27,-1,1,2,-1,-3,1,0,0,0.135
28,-2,1,0,-1,0,-1,-1,-3,0.14
29,-1,1,-2,0,-1,-3,-2,-1,0.145
30,-1,0,-1,0,-2,0,0,-1,0.15
31,-3,-4,-4,0,0,2,-1,2,0.155
32,-3,-2,-2,-3,-2,-2,-4,-3,0.16
33,2,0,4,5,-1,-1,-3,3,0.165
34,0,-2,1,-1,0,0,-3,-3,0.17
35,-1,-1,0,0,-3,-1,0,0,0.17500000000000002
36,-1,-1,-2,0,-1,-1,-1,2,0.18
37,-2,-6,-2,-1,3,-1,1,-1,0.185
38,-1,0,1,0,1,0,2,0,0.19
39,0,-1,1,-2,0,-1,3,-2,0.195
40,1,1,4,-2,-2,0,2,-4,0.2
41,-8,1,0,-5,-3,1,0,0,0.20500000000000002
42,-1,-3,-4,-3,0,-4,-1,1,0.21
43,-3,-2,-7,-2,0,-2,-1,-3,0.215
44,-1,1,0,3,2,-1,-4,-1,0.22
45,1,-2,-2,-2,-1,0,-2,-2,0.225
46,3,3,2,0,-4,1,-4,-3,0.23
47,1,1,0,0,-1,0,-2,1,0.23500000000000001
48,3,0,-1,-1,0,1,-2,4,0.24
49,1,3,-3,5,-2,1,-2,2,0.245
50,-4,-5,-4,1,0,1,0,-2,0.25
51,1,0,3,-1,-2,-3,1,-2,0.255
52,-2,-1,1,7,1,-1,3,0,0.26
53,3,-1,-3,-5,2,-1,0,-2,0.265
54,-2,2,-3,1,0,1,-1,-2,0.27
55,-1,0,-2,-3,1,0,-3,-1,0.275
56,0,-1,1,-2,-1,2,1,-1,0.28
57,-8,0,3,-2,-3,-1,1,-4,0.28500000000000003
58,-1,0,1,0,0,-2,1,-1,0.29
