slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,0,-2,0,5,0,-1,-1,0.0
1,-1,0,-1,-3,-1,1,0,-1,0.005
2,1,-1,-1,4,3,0,-1,1,0.01
3,-1,0,-1,-3,-6,-1,-1,-3,0.015
4,-1,0,0,-2,-1,0,-1,-1,0.02
5,0,-2,-1,0,-2,-1,-2,-1,0.025
6,-2,-2,-1,-3,-1,-1,1,-1,0.03
7,1,-2,-2,0,1,-1,-1,-2,0.035
8,0,0,0,0,-1,-1,-1,0,0.04
9,-2,-1,0,1,2,0,-1,0,0.045
10,-1,-1,-1,-23,-4,0,-1,-2,0.05
11,-1,-1,-1,22,6,-1,-2,-2,0.055
12,0,0,2,3,-6,0,2,0,0.06
13,-1,0,0,7,-3,-2,-1,-1,0.065
14,0,0,0,-7,-2,-2,-1,-1,0.07
15,0,0,0,-8,2,-1,0,0,0.075
16,-1,-2,-1,-3,-3,0,-2,-1,0.08
17,-1,0,-1,-1,3,1,0,-1,0.085
18,-1,-1,-2,7,2,-3,0,-1,0.09
19,-1,0,0,-7,-4,-1,-2,0,0.095
20,0,0,0,0,2,0,-1,-1,0.1
21,-1,-2,-1,4,1,-1,0,2,0.105
22,0,-1,1,-1,-1,0,0,1,0.11
23,-2,-1,-1,-2,-3,-1,-1,-1,0.115
24,-1,0,-1,0,0,0,-1,-1,0.12
25,-2,0,-3,-1,1,0,-1,-2,0.125
26,-1,0,-1,-10,-4,-2,-1,-1,0.13
27,-1,-1,-1,15,4,0,-1,-1,0.135
28,-1,0,-1,-2,-10,-2,-2,0,0.14
29,1,-3,0,-1,-2,0,0,0,0.145
30,-1,-2,0,3,-1,-1,1,-1,0.15
31,-2,-2,-2,-8,-4,-2,-1,-2,0.155
32,0,-1,0,-5,1,-1,-1,-3,0.16
33,0,-1,-2,2,0,-1,0,-1,0.165
34,-1,0,0,-3,-2,-1,-1,-1,0.17
35,1,0,0,-5,-5,-2,0,0,0.17500000000000002
36,-2,-3,-1,6,6,1,1,-1,0.18
37,-2,-2,-1,-1,-7,-1,-1,-2,0.185
38,-2,-2,-1,-4,3,-1,-1,-1,0.19
39,0,0,0,2,0,0,-1,0,0.195
40,0,-1,-2,-1,2,0,-2,-1,0.2
41,-2,-1,-2,1,-3,-3,-1,-1,0.20500000000000002
42,-2,0,0,0,-1,0,-1,-2,0.21
43,-1,-2,-1,-3,-5,-2,-2,1,0.215
44,-1,-2,-2,-1,-4,-2,-1,-1,0.22
45,1,0,0,-6,-3,-1,-1,-1,0.225
46,0,-1,-2,5,2,0,-1,0,0.23
47,-2,-2,-1,-24,-7,-1,-1,-2,0.23500000000000001
48,-1,0,2,18,6,-1,0,-2,0.24
49,0,1,-2,-1,0,0,0,-1,0.245
50,-3,-1,-1,4,-4,-3,0,-1,0.25
51,0,-1,-2,-5,4,2,-2,1,0.255
52,0,-1,-1,-8,-4,-1,0,-1,0.26
53,-2,-1,-1,5,1,-1,0,1,0.265
54,1,0,-1,-2,-2,0,-1,-2,0.27
55,0,-1,0,5,3,-2,-1,-1,0.275
56,1,-1,-1,-5,-2,-1,-3,0,0.28
57,-2,-1,0,-2,-8,0,-1,-1,0.28500000000000003
58,0,-1,-1,1,1,0,-1,-1,0.29
59,-1,-2,-1,4,0,1,0,-2,0.295
60,-3,-1,-1,-1,-4,-1,0,2,0.3
61,0,-1,0,-5,2,-1,-1,-1,0.305
62,-1,0,0,3,5,-1,0,-1,0.31
63,-1,0,-1,3,2,1,-2,-3,0.315
64,-1,-1,0,-3,-3,-1,-1,0,0.32
65,0,0,-1,-20,-1,0,-1,0,0.325
66,-1,0,-2,17,3,1,-1,-1,0.33
67,0,0,0,3,3,-1,1,0,0.335
68,-1,0,-2,-1,-2,-1,-1,-3,0.34
69,-1,-1,-2,-4,-1,0,1,0,0.34500000000000003
70,0,-2,-1,-10,-8,-2,-2,-2,0.35000000000000003
71,0,1,-2,1,2,-1,0,-1,0.355
72,-2,0,0,-4,-1,2,0,-1,0.36
73,0,-1,1,7,3,-3,-1,-1,0.365
74,-1,-3,0,-8,-5,-1,1,0,0.37
75,0,-1,0,6,-2,1,-2,-2,0.375
76,0,-1,-1,1,7,-1,0,-2,0.38
77,-2,-2,-4,2,0,1,-1,-1,0.385
78,-1,-1,-3,-1,0,-2,0,-1,0.39
79,0,-1,-1,-2,-4,-2,0,1,0.395
80,0,-1,0,2,0,-1,0,1,0.4
81,-1,-1,-2,-21,-6,-1,-3,-1,0.405
82,-1,1,-2,12,6,0,0,-1,0.41000000000000003
83,-2,-3,0,-2,-3,0,0,-2,0.41500000000000004
84,-2,0,-3,1,-1,0,-1,-1,0.42
85,-2,-1,-1,3,-2,-1,-1,0,0.425
86,-1,0,-1,-12,-2,0,-1,1,0.43
87,-3,2,-1,2,-2,-1,-1,0,0.435
88,0,-2,-3,-6,-7,-1,-1,0,0.44
89,-2,-2,-2,9,7,-1,-2,-1,0.445
90,0,-1,-1,-3,-3,1,1,-1,0.45
91,-1,-2,-1,3,2,-1,0,0,0.455
92,-1,-1,0,-4,1,1,-1,-1,0.46
93,0,-1,1,11,-1,-2,-1,-1,0.465
94,0,-1,1,-5,3,1,-2,0,0.47000000000000003
95,1,-2,-2,-11,-1,0,0,0,0.47500000000000003
96,1,0,-1,10,2,-1,0,0,0.48
97,0,0,-1,3,-1,-1,2,0,0.485
98,0,-1,-1,2,-1,-3,-1,-1,0.49
99,-2,0,0,3,1,-3,-2,-4,0.495
100,-1,0,-1,-23,-8,-2,-2,0,0.5
101,-1,0,-2,7,1,-1,0,-1,0.505
102,-3,1,-1,1,-2,-1,-1,-1,0.51
103,0,-1,-1,1,-5,-2,0,0,0.515
104,0,0,-2,-7,-6,0,0,-2,0.52
105,-1,-2,0,1,10,2,-2,-1,0.525
106,0,-2,-3,-3,-3,1,0,-1,0.53
107,-3,-1,-1,-6,-7,-2,0,0,0.535
108,-2,1,-1,6,10,1,-1,0,0.54
109,1,-1,0,-5,-3,0,-1,0,0.545
110,0,0,-1,0,-3,-2,-2,0,0.55
111,0,0,1,-3,-5,-1,0,-1,0.555
112,-2,-3,0,6,4,-3,0,-1,0.56
113,-1,-1,0,1,-5,-1,1,0,0.5650000000000001
114,-2,-1,-1,-2,-1,-1,-1,-2,0.5700000000000001
115,0,-1,-1,-1,2,1,-3,-1,0.5750000000000001
116,0,0,-1,-4,-4,0,-2,-1,0.58
117,0,0,0,-6,3,0,-2,-2,0.585
118,-2,-1,-1,10,1,1,0,-1,0.59
119,0,-2,-1,-3,2,0,-1,-1,0.595
120,1,-2,0,-7,-2,-1,-1,-1,0.6
121,0,-2,0,-2,-5,-3,-2,1,0.605
122,0,0,-1,1,4,0,-3,-2,0.61
123,-2,0,-2,-3,1,-2,-1,-2,0.615
124,-1,-3,0,3,-3,-1,0,0,0.62
125,0,0,-2,-1,-4,-1,0,1,0.625
126,-1,-1,1,-4,-3,0,0,0,0.63
127,0,0,-2,0,0,2,1,-1,0.635
128,1,-1,-1,2,0,-1,-1,-2,0.64
129,-1,0,1,4,2,-1,-2,-2,0.645
130,-2,-2,0,-5,-5,0,0,0,0.65
131,1,-1,-2,3,0,-1,-2,-3,0.655
132,0,0,-2,1,-2,-2,0,0,0.66
