slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,1,-1,-1,2,1,-1,-3,-1,0.0
1,-2,0,-1,0,-1,0,-3,-1,0.005
2,-3,-2,-2,-1,0,1,-1,-1,0.01
3,-3,1,1,-3,1,-3,-2,0,0.015
4,-2,-1,0,-1,2,-2,1,0,0.02
5,-2,-2,-2,-2,0,-2,0,1,0.025
6,1,-1,-2,-2,-1,-2,-1,-1,0.03
7,0,-1,-3,-2,0,-1,-2,0,0.035
8,-1,1,0,-2,-2,-1,-2,-1,0.04
9,0,1,0,0,-2,1,-2,-1,0.045
10,0,-2,0,0,0,0,0,-2,0.05
11,1,-1,-1,1,-2,2,1,-2,0.055
12,-2,1,-1,0,-1,0,1,0,0.06
13,2,-1,0,-1,0,-1,0,-1,0.065
14,-1,0,-1,-1,-1,-2,-2,0,0.07
15,-1,-2,-1,0,-1,1,1,-1,0.075
16,-1,0,1,-2,-2,-1,-1,-2,0.08
17,0,-2,-1,-1,0,0,0,0,0.085
18,-2,-1,-2,0,0,1,-3,-1,0.09
19,-1,-1,-2,1,-1,0,-3,-1,0.095
20,0,-1,-1,-2,0,-2,1,1,0.1
21,-1,0,0,-1,-1,1,-1,0,0.105
22,1,1,-2,0,-3,-2,-1,0,0.11
23,0,-3,0,0,0,2,-2,-1,0.115
24,-2,0,-2,-2,-1,-2,-1,0,0.12
25,-1,-1,-2,-1,-3,-1,1,0,0.125
26,0,-2,-1,1,-2,-2,0,1,0.13
27,-1,-1,-1,1,-1,-1,-2,-2,0.135
28,1,1,0,3,-2,0,-2,-1,0.14
29,-1,-1,-1,-1,0,1,0,-1,0.145
30,-1,-1,-1,-1,-2,-3,0,-2,0.15
31,-1,-1,0,-2,-2,0,0,-1,0.155
32,-1,-2,1,-3,2,-2,0,0,0.16
33,0,2,-1,-3,1,-2,-1,1,0.165
34,0,-2,0,1,1,-1,-2,-2,0.17
35,-1,-1,-1,1,-2,-1,-1,-1,0.17500000000000002
36,-1,-3,-2,-1,-2,-1,-1,0,0.18
37,0,-1,0,-1,-1,-1,-1,-3,0.185
38,0,3,-1,-5,-1,-2,-1,-2,0.19
39,0,0,0,1,1,-1,-1,-1,0.195
40,0,-1,-1,0,-3,-1,-1,0,0.2
41,-1,-4,-2,0,-1,1,-1,0,0.20500000000000002
42,1,0,-2,1,-2,1,1,-2,0.21
43,-1,-1,-1,-5,-2,-2,1,-3,0.215
44,0,-1,-1,-2,-2,-1,0,0,0.22
45,0,-2,-1,0,-1,-3,-2,-1,0.225
46,0,1,2,-1,0,0,-2,0,0.23
47,0,-2,-1,1,1,-2,-1,-1,0.23500000000000001
48,-1,0,0,-1,1,-1,-1,-2,0.24
49,0,1,0,0,-2,-1,1,0,0.245
50,-4,-2,-2,-2,-1,0,-1,-2,0.25
51,0,1,-2,0,-2,0,-1,1,0.255
52,0,1,-2,1,-3,0,-2,1,0.26
53,-1,-3,-2,1,-2,1,0,-2,0.265
54,-1,0,1,0,1,1,-1,0,0.27
55,0,0,1,1,1,-1,0,-1,0.275
56,0,-2,-1,-1,0,-2,-1,-2,0.28
57,-2,0,0,-1,0,0,-3,-1,0.28500000000000003
58,0,-3,-2,-2,-1,-2,-1,2,0.29
59,1,0,-1,-1,0,1,-1,-1,0.295
60,1,-1,-1,-2,0,0,0,-1,0.3
61,-1,0,0,-2,1,-2,1,0,0.305
62,-1,-1,-2,-3,-1,-2,-1,-1,0.31
63,1,0,0,-2,-2,-2,-2,0,0.315
64,0,-1,-1,-1,1,-1,-1,-1,0.32
65,-3,-3,-1,1,0,-1,-2,-1,0.325
66,-1,1,0,1,0,-1,-1,-1,0.33
67,-1,-1,-1,-1,0,0,0,0,0.335
68,0,0,-1,-2,-2,0,-2,-1,0.34
69,2,1,-3,-1,-3,0,0,-1,0.34500000000000003
70,0,-1,-2,1,-2,-1,0,0,0.35000000000000003
71,-1,-2,-1,-2,-3,-2,1,-1,0.355
72,-3,-2,-1,0,-1,-3,1,-2,0.36
73,0,-2,2,0,1,-1,0,0,0.365
74,-2,-2,-2,1,0,-1,0,0,0.37
75,-1,0,-1,-2,0,-1,-1,-3,0.375
76,-1,1,1,0,1,-1,0,0,0.38
77,-1,1,-1,-1,-1,0,-1,-2,0.385
78,-1,-2,0,0,0,-2,-1,-3,0.39
79,0,-1,1,0,-2,-1,-1,0,0.395
80,-1,-1,-3,1,-3,0,0,-1,0.4
81,1,0,-1,1,-1,-2,-2,1,0.405
82,-1,-2,-2,-1,-2,-1,0,1,0.41000000000000003
83,0,-2,-1,0,-1,-1,0,1,0.41500000000000004
84,-2,-2,-2,-3,-1,0,-1,-2,0.42
85,-1,-2,-2,-2,0,0,-1,0,0.425
86,1,-1,1,-2,0,0,-1,0,0.43
87,-1,-1,-2,-1,0,-1,-1,0,0.435
88,2,1,0,-3,0,-1,-1,0,0.44
89,-1,0,-1,-1,-1,-4,-4,0,0.445
90,-2,0,-1,-1,-1,-1,-2,-1,0.45
91,1,0,-1,0,1,1,-2,-1,0.455
92,-2,1,2,-1,-3,-4,-1,-2,0.46
93,0,-1,-2,0,-1,-1,0,-2,0.465
94,-2,-1,0,-2,-3,0,-1,1,0.47000000000000003
95,-2,0,-1,-1,-1,-3,-1,0,0.47500000000000003
96,-1,-3,-3,0,1,1,-2,-1,0.48
97,-1,-1,-3,-1,-2,-3,-2,-3,0.485
98,-1,1,0,0,0,-1,1,-1,0.49
99,-1,0,0,-3,0,-2,0,0,0.495
100,-1,0,0,-1,-1,-1,0,-1,0.5
101,0,-1,0,-4,-1,-2,0,1,0.505
102,-2,0,-2,0,-1,-2,-2,1,0.51
103,-3,-3,-1,-1,0,-2,-1,-1,0.515
104,0,-1,-1,0,-1,0,-2,0,0.52
105,1,-4,-2,-1,-1,0,0,-1,0.525
106,2,0,-2,-1,-2,-1,-1,0,0.53
107,0,-5,-1,-1,0,-1,-2,-4,0.535
108,0,-1,0,1,1,-1,-1,-1,0.54
109,-2,-1,1,0,-1,0,-1,0,0.545
110,0,0,0,0,0,0,-2,-1,0.55
111,-2,0,-2,1,-2,-2,-2,1,0.555
112,-2,0,-2,-1,-1,-1,-1,-1,0.56
113,-2,0,1,1,2,2,0,-1,0.5650000000000001
114,-2,-2,0,0,0,0,-1,0,0.5700000000000001
115,1,-1,-1,-5,-4,0,-1,-2,0.5750000000000001
116,0,-2,-1,0,-1,-3,-1,-1,0.58
117,-1,-1,-1,-1,0,-1,2,1,0.585
118,-2,-2,-4,-4,-1,0,1,-3,0.59
119,-3,0,-2,1,0,1,1,-1,0.595
120,-1,1,-1,-2,-1,0,-1,0,0.6
121,1,1,-2,0,-3,-2,0,-2,0.605
122,1,-4,-2,-1,-1,0,-2,-2,0.61
123,0,-4,-1,-1,0,0,-1,0,0.615
124,0,0,2,0,-1,-1,-2,-2,0.62
125,-2,-1,-1,-2,-2,-1,-1,0,0.625
126,1,-1,1,1,2,-1,0,-1,0.63
127,0,1,-1,-1,1,-1,-1,1,0.635
128,-1,-2,-2,0,0,0,1,-1,0.64
129,-1,0,-1,0,-1,1,-1,-1,0.645
130,-1,0,-1,1,-3,-2,-1,-1,0.65
131,-1,1,-1,1,0,-2,1,-2,0.655
132,0,-1,0,-3,-1,1,-3,-1,0.66
133,0,-4,-1,1,-1,-1,-2,-2,0.665
134,0,-2,-2,-2,-1,-1,-1,0,0.67
135,0,0,0,0,-2,-1,0,1,0.675
136,-1,-1,-1,-2,0,-2,0,1,0.68
137,0,-2,-2,-4,-2,-2,0,-2,0.685
138,1,1,0,-1,-1,-2,0,-3,0.6900000000000001
139,-1,-3,-3,-2,0,0,0,-2,0.6950000000000001
140,-1,-2,-1,-1,-2,1,0,1,0.7000000000000001
141,-1,0,-1,1,-1,-1,-1,-1,0.705
142,-1,3,1,-1,-1,-1,-1,-1,0.71
143,0,1,2,0,-1,0,-1,1,0.715
144,0,0,0,-1,-2,-3,-2,-1,0.72
145,-1,0,-2,-2,0,1,-2,-1,0.725
146,-3,-1,-1,0,-1,-2,-3,-1,0.73
147,-1,-1,-1,0,-1,-1,0,-1,0.735
148,-2,-2,-2,-1,-1,0,0,-1,0.74
149,0,-1,1,0,-2,0,0,0,0.745
150,1,-1,-1,-2,1,0,2,0,0.75
151,-2,-2,-2,-4,-1,1,-2,-1,0.755
152,0,-4,-1,-1,0,-2,-2,-2,0.76
153,-2,0,0,-1,0,-2,-3,-1,0.765
154,0,-3,0,-2,0,-1,0,-1,0.77
155,2,1,2,-3,0,-1,-1,-2,0.775
156,-1,-1,1,0,-1,-1,0,-1,0.78
157,-1,-2,1,2,0,1,0,0,0.785
158,0,-4,-1,0,0,0,-2,-2,0.79
159,-3,-1,-2,-1,0,-1,-1,-1,0.795
160,0,1,-1,0,0,-1,1,-1,0.8
161,0,0,-3,0,0,-2,-1,-1,0.805
162,-1,0,-1,-1,0,-4,-2,-1,0.81
163,-1,1,-1,0,0,-3,2,0,0.8150000000000001
164,-1,1,1,0,-1,0,-1,-1,0.8200000000000001
165,0,-1,-1,-3,-2,0,-1,-1,0.8250000000000001
166,-1,-1,-3,0,-2,0,-2,-2,0.8300000000000001
167,-1,-2,-2,-3,-3,0,-1,-3,0.835
168,-2,0,-1,0,0,-3,1,-1,0.84
169,-2,-1,-1,-2,-1,-3,2,0,0.845
170,-1,1,-1,-1,1,-2,-2,-1,0.85
171,0,-1,-2,-2,-1,-2,-2,-1,0.855
172,2,-1,0,0,-2,0,-3,-2,0.86
173,-1,-3,1,-3,-3,0,0,-1,0.865
174,0,1,1,-2,-2,0,1,0,0.87
175,-3,0,0,0,-2,0,-1,-1,0.875
176,1,5,0,-2,-2,1,0,-1,0.88
177,1,-1,0,0,-1,-2,-2,-1,0.885
178,-2,-1,-2,-2,-2,-1,-3,0,0.89
179,1,-2,0,0,-2,-1,-1,0,0.895
180,-1,-2,-1,-3,1,0,0,-1,0.9
181,-2,0,-3,-1,0,-2,-1,-1,0.905
182,-1,0,1,0,0,0,1,-3,0.91
183,0,0,-1,0,-3,-2,1,-3,0.915
184,-2,-3,-1,-1,-1,-3,-2,-2,0.92
