slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,-3,-10,-6,-24,-5,-2,-1,0.0
1,1,-1,-2,1,4,2,2,2,0.005
2,0,-2,-1,0,0,0,1,0,0.01
3,-3,-4,0,4,-7,-6,-3,-4,0.015
4,1,-2,2,-6,4,1,-2,-1,0.02
5,-1,-3,1,-4,-4,-1,0,-1,0.025
6,-1,-2,-2,-6,-1,-1,1,-1,0.03
7,-2,-3,0,-7,-2,-2,-2,-1,0.035
8,-1,-4,0,9,1,0,-1,-2,0.04
9,0,-1,-1,1,1,1,0,-1,0.045
10,1,-1,-2,-3,-5,0,-2,-1,0.05
11,-1,-4,-10,-32,-9,-2,-1,-1,0.055
12,-2,0,6,23,13,1,1,-1,0.06
13,1,-1,-3,-3,-8,-1,0,-1,0.065
14,-4,0,7,28,-3,-5,-1,-4,0.07
15,-3,-2,-6,-9,12,7,-1,-1,0.075
16,2,0,-3,-20,-7,-2,-1,-1,0.08
17,-1,1,-1,-7,5,1,-1,-2,0.085
18,-1,2,-2,-8,-8,-2,1,1,0.09
19,0,-1,-1,4,-3,-3,-2,-2,0.095
20,-2,0,0,-1,4,-2,-1,-1,0.1
21,2,1,0,10,2,-2,-1,0,0.105
22,1,-2,1,3,3,-1,-4,-2,0.11
23,-1,-1,-1,8,-2,-2,0,-1,0.115
24,1,1,0,4,-3,2,0,-1,0.12
25,-2,-5,-3,-1,-5,-4,-3,-2,0.125
26,-2,0,-2,0,-1,-6,-1,-2,0.13
27,-2,1,0,-1,1,-3,-1,0,0.135
28,1,1,1,-1,1,-1,1,1,0.14
29,-1,-3,-7,-5,-3,-4,-4,-1,0.145
30,-1,-2,-2,-3,-7,-2,-1,-1,0.15
31,0,-1,-1,1,13,2,2,0,0.155
32,0,1,-1,-5,-10,-5,-2,1,0.16
33,0,2,3,-10,20,4,-2,-1,0.165
34,1,1,-2,-5,-2,0,-1,0,0.17
35,-2,-3,1,27,-5,-5,-3,-2,0.17500000000000002
36,-1,1,-2,-7,1,2,1,-2,0.18
37,-3,-1,-2,1,-13,-7,-2,-3,0.185
38,0,0,-2,-17,2,5,-1,-2,0.19
39,-2,2,-1,-10,-4,1,-1,0,0.195
40,-1,-1,0,4,5,4,-2,1,0.2
41,-2,-3,-4,-3,-10,-3,-2,-2,0.20500000000000002
42,-1,-1,1,7,3,-1,1,1,0.21
43,0,1,0,-1,-3,0,0,1,0.215
44,-1,-1,-1,3,3,-1,0,0,0.22
45,-3,-1,-1,-2,-2,-1,0,-2,0.225
46,3,0,-1,6,-1,-3,-2,0,0.23
47,1,2,-4,-20,-3,-2,1,0,0.23500000000000001
48,-5,2,1,8,0,-2,0,2,0.24
49,11,-1,2,2,0,0,-1,-1,0.245
50,-9,-5,1,15,0,-3,0,-1,0.25
51,3,-3,-6,-26,-7,1,-1,1,0.255
52,-1,-2,3,26,6,2,0,0,0.26
53,-3,0,-3,-7,-4,-1,-2,-1,0.265
54,-1,-2,-3,-6,-2,-1,-2,-2,0.27
55,-1,0,2,5,2,0,0,-1,0.275
56,1,-1,-6,-36,-3,-1,1,-2,0.28
57,-5,0,7,42,4,-1,0,-1,0.28500000000000003
58,2,-1,-3,-6,-3,-1,-2,-1,0.29
59,-3,-1,-1,4,0,2,-1,0,0.295
60,0,-2,1,0,-2,0,-2,-1,0.3
61,-2,-1,-3,-13,-4,-1,-1,-2,0.305
62,-2,-2,0,0,-2,0,1,-3,0.31
63,2,-1,-1,2,-2,0,0,-1,0.315
64,2,-1,-4,-7,-2,-1,-1,-1,0.32
65,-2,0,0,4,-3,-1,0,1,0.325
66,-3,1,-3,-3,1,0,-2,0,0.33
67,0,-1,1,1,1,0,0,-2,0.335
68,-2,0,-3,-24,-4,-4,-1,-1,0.34
69,-4,0,7,46,9,0,0,-1,0.34500000000000003
70,2,-1,-1,-2,-3,-3,-3,-1,0.35000000000000003
71,-1,-1,0,3,2,2,2,-1,0.355
72,2,-1,-9,-22,-4,-2,1,-1,0.36
73,-2,-2,6,11,1,0,-1,1,0.365
74,-2,-1,-3,0,-1,0,-1,-1,0.37
75,-1,-1,-1,4,0,-1,-2,-2,0.375
76,-2,-1,1,9,1,-1,-1,-2,0.38
77,0,-1,-9,-46,-9,-1,0,-1,0.385
78,-2,0,7,23,5,0,-1,-2,0.39
79,-3,-1,2,9,0,0,-1,-1,0.395
80,3,-4,0,7,1,1,0,2,0.4
81,-1,-3,-5,-19,-5,-2,-1,-1,0.405
82,2,-2,3,7,2,2,1,-1,0.41000000000000003
83,-2,-4,-9,-18,-3,-1,-2,0,0.41500000000000004
84,-3,0,2,8,0,-2,-2,-1,0.42
85,-1,0,-3,1,0,-2,0,0,0.425
