slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,-1,-3,-4,-4,-1,-3,-1,0.0
1,0,0,-3,-8,-3,-1,-2,0,0.005
2,0,0,1,8,5,1,-1,0,0.01
3,-2,-1,-3,-12,-9,-1,-2,-1,0.015
4,0,-2,-6,1,3,-2,-1,0,0.02
5,-1,1,-1,-4,0,-1,-1,-1,0.025
6,0,-1,3,8,-3,-1,1,1,0.03
7,-1,-1,-1,-3,-4,-2,-2,-2,0.035
8,-1,0,-4,-4,-3,-3,-2,-2,0.04
9,3,0,1,5,-3,0,1,-1,0.045
10,-1,0,0,-6,-2,0,1,-1,0.05
11,0,-2,-6,-6,-1,-1,0,0,0.055
12,-2,-2,6,9,-1,-1,-1,-1,0.06
13,-1,-2,-5,-2,-1,-1,-1,-1,0.065
14,0,-1,0,1,-2,0,1,0,0.07
15,0,-1,-3,0,-1,-1,-2,-2,0.075
16,-1,-2,-3,-5,-1,-1,-1,-1,0.08
17,1,0,1,1,2,2,0,1,0.085
18,-2,-2,-3,-3,-4,0,0,-2,0.09
19,-1,0,2,5,5,-1,-1,0,0.095
20,-3,0,-3,-6,-3,-3,0,-1,0.1
21,-2,0,2,7,-5,-1,-1,-1,0.105
22,0,0,2,3,7,2,-2,-2,0.11
23,-2,-1,-4,-10,-7,-3,-4,-3,0.115
24,0,0,-7,-11,1,-1,-1,-1,0.12
25,1,0,8,14,2,3,2,1,0.125
26,-1,-1,-2,3,-6,-2,-1,1,0.13
27,-1,-1,-4,-5,-5,-3,-3,-2,0.135
28,-1,1,1,0,-2,-2,0,-1,0.14
29,2,0,-7,-6,2,0,0,-1,0.145
30,-3,-2,0,-4,-10,-3,-1,-1,0.15
31,-1,-1,-3,4,7,3,1,1,0.155
32,0,-1,-1,-2,-4,-1,-1,-1,0.16
33,0,-2,-1,1,3,1,1,0,0.165
34,-2,-1,-3,-6,-7,-3,-2,-2,0.17
35,0,-2,0,-1,-3,-3,-3,-2,0.17500000000000002
36,0,-2,2,5,3,-1,0,0,0.18
37,0,0,0,-5,-4,-1,0,-1,0.185
38,0,0,-2,2,5,2,0,0,0.19
39,-1,0,0,-2,-6,0,-1,-1,0.195
40,-1,0,0,4,0,-1,-1,-1,0.2
41,-1,0,-4,-10,-4,-1,-3,0,0.20500000000000002
42,0,-1,-9,-8,6,2,0,2,0.21
43,-1,0,14,26,-6,-2,1,-1,0.215
44,0,0,-1,-2,-5,1,1,0,0.22
45,-2,0,-1,-3,-3,-2,1,-2,0.225
46,-2,0,-1,-2,-3,-3,-1,-1,0.23
47,-3,0,-9,-26,-3,-2,-1,-2,0.23500000000000001
48,-2,-1,-1,12,2,-2,-3,-1,0.24
49,0,0,3,12,15,4,2,-2,0.245
50,1,-1,-1,-5,-1,-1,-1,-1,0.25
51,0,-1,-1,2,2,-1,1,-1,0.255
52,-1,-1,-2,-11,-10,-2,-2,-1,0.26
53,-1,0,-1,1,-1,-2,-3,-1,0.265
54,-1,-2,1,4,-2,-3,-1,-2,0.27
55,-2,-3,0,-2,4,-1,-2,-1,0.275
56,0,-1,-1,-9,-8,-1,-1,-2,0.28
57,1,-1,1,8,10,2,0,1,0.28500000000000003
58,-3,-1,-2,-6,1,0,-1,-2,0.29
59,-1,-1,-1,11,-2,-1,-2,-1,0.295
60,0,-1,3,0,5,2,0,-1,0.3
61,0,-1,2,-3,-9,-4,-1,-1,0.305
62,0,-1,-3,-4,-2,-1,1,0,0.31
63,-1,-2,-3,-5,2,0,0,-1,0.315
64,0,0,-1,-1,0,1,-1,0,0.32
65,-1,0,-3,-2,0,0,-2,-1,0.325
66,0,0,-3,1,-1,-1,0,-2,0.33
67,-2,-2,3,-3,-2,0,-2,-2,0.335
68,0,-1,1,6,6,1,0,0,0.34
69,-1,-1,1,-2,-8,-3,0,0,0.34500000000000003
70,-2,-1,-4,-3,3,0,-1,-1,0.35000000000000003
71,0,-1,-7,-16,-6,-3,-1,0,0.355
72,0,-1,3,5,2,0,-1,1,0.36
73,0,-1,0,3,6,4,1,1,0.365
74,-2,-1,3,3,-2,-1,0,-2,0.37
75,-1,1,0,1,4,-1,-2,0,0.375
76,-2,-4,-4,-9,-7,-2,0,-1,0.38
77,0,-2,0,-4,-8,-1,0,0,0.385
78,0,-3,4,-1,-3,-2,-1,-1,0.39
79,-1,-1,-2,-4,-1,-1,2,1,0.395
80,0,-1,-2,-2,1,-1,0,0,0.4
81,0,1,-1,12,10,0,-2,1,0.405
82,-1,-1,1,4,-2,1,-1,0,0.41000000000000003
83,1,0,-2,-12,-5,-2,-1,0,0.41500000000000004
84,-2,1,1,6,7,1,0,-1,0.42
85,-2,-1,-4,-9,-5,-2,-1,-1,0.425
86,1,0,1,-1,-1,-2,-2,0,0.43
87,1,0,1,8,2,-1,0,-1,0.435
88,2,1,-3,-6,-4,-3,-1,0,0.44
89,-1,-1,0,-6,-5,-3,-2,-3,0.445
90,-1,-1,-1,2,5,-1,0,-3,0.45
91,-1,-2,1,1,-2,1,0,-3,0.455
92,-2,1,-2,8,1,-2,0,-1,0.46
93,-3,-2,1,0,0,-1,0,-3,0.465
94,-1,-1,-1,-3,-6,-2,-1,0,0.47000000000000003
95,1,-1,0,5,4,-1,-1,1,0.47500000000000003
96,-1,-1,1,-6,-2,0,-1,-3,0.48
97,-2,0,-2,-9,-3,-2,-1,-1,0.485
98,-2,-1,-1,4,-1,1,0,-2,0.49
99,-1,0,0,7,4,0,-2,1,0.495
100,0,-1,-1,-5,-4,-1,0,0,0.5
101,0,0,-3,6,5,-1,0,-1,0.505
102,0,2,2,-5,-1,-1,-2,-1,0.51
103,-2,-1,-2,-2,-11,-4,-1,-2,0.515
104,-3,-1,-1,3,2,0,0,0,0.52
105,-1,0,-2,-11,-7,-3,-3,-1,0.525
106,-2,-1,-1,9,2,0,-1,-2,0.53
107,1,0,0,4,3,1,-1,1,0.535
108,1,0,0,-2,0,-1,1,-1,0.54
109,-2,0,-2,-8,-10,-3,-2,-1,0.545
110,-1,0,0,6,11,2,1,1,0.55
111,-2,0,-1,-7,-6,-3,0,-1,0.555
112,0,0,0,2,6,0,-2,-1,0.56
113,-1,-3,-1,1,-5,-1,0,-1,0.5650000000000001
114,-1,0,-1,-4,-4,-1,-2,-1,0.5700000000000001
115,-2,0,-1,-3,-1,-2,-2,-3,0.5750000000000001
116,0,-1,1,3,0,1,1,-1,0.58
117,-1,-1,1,-4,-6,-2,-2,-2,0.585
118,0,-1,-1,3,-1,-2,-2,0,0.59
119,1,0,0,-4,2,0,1,-1,0.595
120,-2,-1,-2,-4,-6,-2,-2,0,0.6
121,0,-1,-1,-3,1,0,-2,-1,0.605
122,-2,-2,-1,-1,2,0,1,0,0.61
123,1,0,0,3,2,1,0,1,0.615
124,0,0,0,1,-1,0,-1,-2,0.62
125,-1,1,-1,-4,0,-1,-2,0,0.625
126,0,2,-1,4,-2,-3,-2,-2,0.63
127,0,0,-2,2,0,0,-1,0,0.635
128,-1,0,0,-2,1,2,0,-2,0.64
129,-2,-3,-4,-6,-5,-3,0,-2,0.645
130,1,-1,2,1,1,0,0,0,0.65
131,-3,-1,-1,-3,-4,-1,-2,1,0.655
