slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,-4,1,22,0,0,-1,0,0.0
1,-1,-1,-1,1,-1,0,0,-1,0.005
2,-1,-1,2,-9,-2,-3,-3,-1,0.01
3,-1,-2,-11,-3,-3,-3,-2,-1,0.015
4,-1,2,14,30,3,1,1,0,0.02
5,-1,-2,-8,-10,4,2,0,0,0.025
6,-1,-1,-8,-42,-65,-22,-6,-3,0.03
7,2,-1,3,46,69,17,2,0,0.035
8,0,-2,-3,-24,-12,-9,-1,-2,0.04
9,-2,1,2,-7,-27,7,1,-1,0.045
10,-1,-5,0,43,55,24,5,1,0.05
11,-3,0,11,-23,-51,-15,-4,-2,0.055
12,-2,-3,-12,10,-15,-8,-4,-1,0.06
13,3,1,-16,-4,82,19,5,3,0.065
14,-1,-2,12,-7,-16,-9,-1,0,0.07
15,1,3,4,-6,-6,-1,-1,-1,0.075
16,-3,1,-12,-15,-6,0,-1,-3,0.08
17,-2,-9,15,-1,-36,-15,-4,-2,0.085
18,-2,-2,-3,3,15,3,-1,-2,0.09
19,-2,-2,9,-3,-5,-2,1,0,0.095
20,1,4,-3,-7,1,1,-1,1,0.1
21,-3,1,-12,3,-8,-6,-3,0,0.105
22,-1,0,3,2,-6,-2,-2,0,0.11
23,-3,-4,-8,-21,-11,-6,-5,-1,0.115
24,0,2,2,1,1,2,0,1,0.12
25,0,-1,-3,-15,-8,-3,-3,-2,0.125
26,0,-1,-2,-5,-3,-3,-2,0,0.13
27,0,-1,-3,-18,-13,-3,-2,-2,0.135
28,1,-1,0,-8,-1,-4,-2,-1,0.14
29,-1,-1,-6,8,-9,-9,-1,-2,0.145
30,-1,-2,3,8,15,6,-1,-1,0.15
31,-1,1,1,1,1,1,0,0,0.155
32,1,-6,-2,5,4,1,-1,-2,0.16
33,0,-7,-3,-25,-28,-11,-4,0,0.165
34,0,8,1,6,21,6,2,1,0.17
35,0,-3,-1,7,4,2,1,-1,0.17500000000000002
36,-5,-7,1,-9,-9,-4,-2,-3,0.18
37,-7,-1,-3,3,2,-1,-2,-5,0.185
38,-1,-4,-1,-3,-10,-3,0,-1,0.19
39,-1,-3,-3,0,4,3,0,0,0.195
40,1,5,13,2,0,0,1,0,0.2
41,1,2,-6,1,5,5,1,0,0.20500000000000002
42,-1,0,0,2,-7,-2,-1,-2,0.21
43,-1,2,-4,4,-6,-6,-1,-2,0.215
44,1,0,-4,-1,3,-1,-2,0,0.22
45,-1,-1,2,0,3,4,1,0,0.225
