slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,-2,1,0,0,-2,-1,-1,0.0
1,-1,-1,1,-1,-1,0,0,0,0.005
2,0,1,2,0,-1,0,0,0,0.01
3,0,0,0,-1,-1,0,-1,-1,0.015
4,0,-1,-2,-2,-1,1,-1,0,0.02
5,0,-1,-2,-2,0,0,0,-1,0.025
6,-1,0,-2,-1,-1,-1,0,-1,0.03
7,-2,-1,-2,-2,-2,-1,-2,-2,0.035
8,-1,-1,-1,0,-2,-1,-1,-3,0.04
9,0,-1,0,-1,0,-1,-1,0,0.045
10,0,1,-2,-1,-1,-1,-3,-3,0.05
11,-2,-2,-1,-2,-1,-1,-1,0,0.055
12,-1,0,-1,0,0,0,-2,-1,0.06
13,-1,0,-2,-1,-1,-1,-1,-1,0.065
14,-1,0,-1,-1,0,0,0,-1,0.07
15,-2,-1,0,1,0,-1,1,-1,0.075
16,0,1,-2,-1,-4,-1,-1,0,0.08
17,-1,-1,1,0,-1,-2,0,-1,0.085
18,0,0,0,-2,-2,-1,0,0,0.09
19,0,-1,-2,-3,-2,-1,-1,0,0.095
20,0,-2,-1,0,-1,-1,-1,1,0.1
21,-2,1,-2,-1,-2,0,1,0,0.105
22,0,-4,-2,0,0,-1,0,1,0.11
23,-1,-2,0,1,1,-1,0,-1,0.115
24,-1,-2,0,-2,1,-1,-1,-1,0.12
25,0,-1,-1,0,1,-1,-2,-1,0.125
26,0,-2,-2,-2,-1,0,-1,-3,0.13
27,-2,-2,-1,0,-1,-1,-1,-2,0.135
28,-1,0,0,1,0,0,0,-2,0.14
29,-1,-1,-1,0,-3,-1,-1,-1,0.145
30,-1,-1,-3,-2,-2,0,0,-1,0.15
31,-1,0,0,0,1,0,-1,0,0.155
32,-1,-3,-1,-2,0,-1,-1,-2,0.16
33,0,1,-2,-1,0,-2,0,-2,0.165
34,1,0,3,1,1,-1,-1,0,0.17
35,-1,-2,-2,-1,-1,-2,0,-1,0.17500000000000002
36,-1,-3,-2,-1,-3,0,0,0,0.18
37,0,-2,0,-2,-1,1,-1,-1,0.185
38,-1,-2,-2,0,-1,0,0,-1,0.19
39,-1,0,-1,-1,-1,-1,-1,0,0.195
40,-2,1,0,0,0,-1,-1,-1,0.2
41,-2,-3,-1,-1,1,-2,-2,-2,0.20500000000000002
42,-2,0,-2,-2,-3,-1,-2,0,0.21
43,-2,-1,-1,0,0,1,1,0,0.215
44,-1,0,-2,-1,0,0,-2,0,0.22
45,-2,-1,0,-1,0,0,-1,0,0.225
46,-1,0,-2,-1,-2,-1,0,-1,0.23
47,1,1,1,-2,-1,0,-2,0,0.23500000000000001
48,1,-1,-3,-1,-1,-1,-1,-1,0.24
49,0,1,-3,-2,-1,-1,-1,-1,0.245
50,-1,0,2,1,-1,-1,0,-1,0.25
51,-2,-1,-1,-1,-2,-2,1,-2,0.255
52,-2,1,2,-1,0,1,0,-1,0.26
53,-2,-3,-1,-1,-2,0,-1,-2,0.265
54,-2,1,1,1,0,-1,-2,-1,0.27
55,1,-1,-2,0,0,-3,0,0,0.275
56,-2,0,-2,0,0,-2,-1,1,0.28
57,0,0,0,0,-2,0,0,0,0.28500000000000003
58,-1,-1,1,-1,-1,-1,0,-1,0.29
59,1,0,-1,1,0,-1,-1,0,0.295
60,0,2,0,0,-2,0,-1,0,0.3
61,1,1,-1,-1,-1,0,-3,0,0.305
62,2,1,0,0,0,-1,0,0,0.31
63,-1,-1,-1,-1,-1,-1,-4,1,0.315
64,1,-2,0,0,-1,-1,1,-1,0.32
65,-1,0,0,-1,-2,0,1,1,0.325
66,-2,-2,-1,2,-1,0,1,2,0.33
67,-2,0,0,0,-1,1,0,-2,0.335
68,-3,0,-1,-2,-1,-2,-1,-2,0.34
69,-1,-1,0,0,1,0,0,-2,0.34500000000000003
70,-1,-2,0,-1,1,0,-1,0,0.35000000000000003
71,-1,0,0,-1,0,-2,0,1,0.355
72,0,-2,-2,-1,0,-3,-1,2,0.36
73,-1,0,-1,-1,0,-1,1,0,0.365
74,1,-3,-1,-2,0,-3,-3,-2,0.37
75,-2,-1,-3,-2,-2,0,-1,-2,0.375
76,0,0,-1,-1,-1,0,-2,-3,0.38
77,-1,1,-1,-1,1,-2,-1,0,0.385
78,-2,-2,-4,-3,-1,-1,-1,0,0.39
79,0,-2,1,-1,-2,-1,-1,0,0.395
80,2,-2,0,1,-2,-1,0,-1,0.4
81,0,-1,-4,0,0,-1,-1,0,0.405
82,2,0,0,1,1,2,-1,-1,0.41000000000000003
83,0,2,0,0,-2,-1,-1,-1,0.41500000000000004
84,-1,-2,0,1,-1,-1,-1,-1,0.42
85,-1,0,0,0,-1,0,0,0,0.425
86,0,1,0,-1,0,0,0,0,0.43
87,-2,0,-2,-1,1,-2,0,-1,0.435
88,0,0,-1,0,-1,-1,-1,-2,0.44
89,0,0,0,1,0,-1,-1,1,0.445
90,0,-2,-2,-3,-1,-3,-1,0,0.45
91,0,-2,-2,-1,0,0,0,0,0.455
92,-1,-1,-1,-1,-1,0,-2,0,0.46
93,1,0,-1,2,-1,-1,-2,-2,0.465
94,-2,3,1,0,-1,1,0,-1,0.47000000000000003
95,-1,1,0,0,1,0,0,1,0.47500000000000003
96,0,-1,0,-1,1,-1,0,0,0.48
97,-1,-2,-3,0,-1,-2,0,-2,0.485
98,-2,-1,-2,0,-3,-1,-1,0,0.49
99,-1,-1,-1,-1,0,-1,-2,-1,0.495
100,0,0,-1,0,0,2,0,-1,0.5
101,0,-2,-1,-1,-1,0,-2,0,0.505
102,-1,-3,-1,0,0,0,-1,0,0.51
103,-1,-2,-3,-1,-1,-1,-1,-1,0.515
104,-2,-1,-2,-1,0,0,0,1,0.52
105,-2,-2,-2,-1,-1,0,0,-1,0.525
106,-2,-1,1,-1,-1,-3,-1,-1,0.53
107,0,-1,-1,-1,-2,0,-2,0,0.535
108,-1,-2,0,-1,-1,-1,-1,-1,0.54
109,1,0,-2,-2,-1,-1,0,-3,0.545
110,-1,-2,-2,-1,-1,0,-1,-1,0.55
111,-2,0,-1,-2,-1,0,1,-1,0.555
112,-3,-2,-1,0,-1,0,1,0,0.56
113,-2,-2,0,-1,-2,-2,-3,0,0.5650000000000001
114,1,2,-1,-1,-3,-1,0,-1,0.5700000000000001
115,-2,-2,-1,-2,0,0,-1,0,0.5750000000000001
116,1,0,0,0,-1,0,0,-2,0.58
117,-1,1,0,-2,-2,-1,-1,0,0.585
118,0,-3,-2,-1,1,-1,0,0,0.59
119,0,-1,0,-1,-2,-2,-1,0,0.595
120,0,-1,-2,0,-1,0,-1,-1,0.6
121,-1,1,1,-1,0,0,-2,0,0.605
122,0,-2,-2,-3,0,0,0,-1,0.61
123,0,0,-1,2,0,-1,0,-1,0.615
124,0,-1,-2,-2,-1,-2,-2,0,0.62
125,0,-1,-3,-2,-3,-1,-2,-1,0.625
126,0,0,1,-3,-1,-1,-2,0,0.63
127,-1,-1,-1,1,-1,-2,0,0,0.635
128,0,-2,1,0,-2,-2,-1,-1,0.64
129,0,0,1,1,0,0,0,0,0.645
130,-2,1,0,0,-1,0,0,-1,0.65
131,0,-2,-4,-2,0,0,1,-1,0.655
132,-3,-1,-1,-1,0,-1,0,0,0.66
133,-1,-1,2,-1,-1,-1,-1,0,0.665
134,0,0,-1,1,0,-1,0,0,0.67
135,1,-1,1,-1,0,-1,0,-1,0.675
136,0,0,-1,1,-1,-1,-1,-2,0.68
