slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,-2,-1,0,0,0,0,-2,0.0
1,-1,0,-1,0,-1,-1,1,0,0.005
2,-1,-1,-3,0,-2,-2,1,-1,0.01
3,0,-2,1,3,-3,-4,-2,-1,0.015
4,0,0,0,-1,0,-2,0,0,0.02
5,-2,0,0,-1,-1,0,-3,-1,0.025
6,-1,0,0,-1,0,0,-2,1,0.03
7,0,0,-1,-2,0,0,-2,1,0.035
8,-2,-1,-2,-1,-2,-2,-3,0,0.04
9,0,-2,-1,-1,0,0,0,-2,0.045
10,0,-2,0,-3,0,-4,1,-2,0.05
11,-2,0,-1,-1,1,2,0,-1,0.055
12,-1,0,0,0,-2,-1,-1,-1,0.06
13,-1,0,-1,-1,-3,-1,-1,-1,0.065
14,1,0,0,-2,-2,0,-3,0,0.07
15,0,-1,0,-1,-1,-2,0,-2,0.075
16,-1,1,-2,0,0,-1,-2,-1,0.08
17,-1,-3,-2,-1,2,-1,-2,1,0.085
18,-2,-2,0,0,0,0,-3,0,0.09
19,-1,0,0,-1,-1,1,0,-1,0.095
20,0,0,0,-1,-1,-1,2,0,0.1
21,0,0,1,-2,-1,-2,1,-1,0.105
22,0,-1,-1,-1,-1,-6,-1,0,0.11
23,0,0,0,-2,-2,-4,-1,0,0.115
24,0,-2,0,-1,2,-1,-1,1,0.12
25,0,-2,0,-1,-1,-1,0,0,0.125
26,-1,1,0,-1,-1,3,-1,-2,0.13
27,-2,-1,-1,0,-2,1,0,0,0.135
28,-2,0,-1,0,-1,0,0,-2,0.14
29,-2,1,-2,-2,-1,-1,-1,0,0.145
30,-2,0,-1,0,-1,0,-4,0,0.15
31,-1,-2,-2,0,1,0,-1,-1,0.155
32,1,-1,-2,1,-1,-1,-2,-2,0.16
33,0,-2,0,0,1,-1,0,-1,0.165
34,-1,-2,-1,-1,-3,-2,3,0,0.17
35,-1,-1,1,-1,-2,0,0,-2,0.17500000000000002
36,1,-1,-2,0,-2,1,-2,1,0.18
37,-2,-1,-3,0,0,1,-1,-1,0.185
38,0,-1,0,-3,-2,0,-2,-1,0.19
39,1,-1,0,-2,-2,-1,-1,0,0.195
40,-2,-1,-2,0,-1,-1,-2,0,0.2
41,-2,-3,-2,-1,-2,-2,-3,0,0.20500000000000002
42,-2,-2,-1,-1,0,0,1,-2,0.21
43,0,-3,-2,-1,-2,-1,-1,-3,0.215
44,0,0,1,-2,-3,-1,1,-3,0.22
45,1,0,0,0,-1,-2,0,-2,0.225
