slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,-2,-1,-2,-1,0,0,1,0.0
1,0,4,4,1,0,-1,-2,1,0.005
2,-3,-3,-6,-1,-1,-1,1,-1,0.01
3,0,-2,-5,-2,0,0,1,-1,0.015
4,-1,-3,-3,-1,-1,-2,-2,-1,0.02
5,0,-1,4,0,-1,0,-1,-1,0.025
6,0,-1,-4,-2,-2,0,-2,-3,0.03
7,-2,-6,-11,-1,0,0,-2,-3,0.035
8,-1,1,-4,0,1,1,-2,-1,0.04
9,-1,0,2,1,0,-1,-1,-2,0.045
10,0,-1,3,0,-1,-2,-2,-1,0.05
11,1,2,1,1,-1,-1,0,0,0.055
12,-1,0,-1,0,0,-1,1,-2,0.06
13,-1,-5,-1,-1,-1,0,-1,0,0.065
14,-2,-8,-2,-1,1,1,0,0,0.07
15,-1,1,-1,0,-1,2,-1,0,0.075
16,0,-1,4,-1,-1,-1,-1,0,0.08
17,-1,-1,1,0,-2,-1,0,0,0.085
18,-2,2,-1,0,-2,-4,0,-1,0.09
19,1,0,-1,1,2,1,0,0,0.095
20,-2,-5,-3,-2,-1,-1,-1,-2,0.1
21,-3,-5,-2,-1,-2,-1,-1,-2,0.105
22,0,1,1,-1,-1,-1,-1,-1,0.11
23,-1,0,-2,-2,-1,-1,-1,-1,0.115
24,0,2,0,0,0,0,-1,0,0.12
25,-1,-2,-5,-1,1,-1,-1,-1,0.125
26,-1,-2,2,1,1,0,0,0,0.13
27,0,5,6,1,1,-2,-2,-1,0.135
28,-1,-3,-3,0,1,1,0,0,0.14
29,-1,0,-2,1,-1,1,0,-2,0.145
30,0,0,-4,-1,-2,-1,-2,-1,0.15
31,-2,3,5,-1,0,1,1,0,0.155
32,-1,0,3,1,0,-1,0,-1,0.16
33,-1,-2,-5,-3,-1,-2,-2,-2,0.165
34,0,2,0,1,0,-1,-1,-2,0.17
35,0,-7,0,-3,-2,0,0,0,0.17500000000000002
36,-1,-3,2,0,0,1,-1,-3,0.18
37,0,-1,-5,-2,0,0,-1,1,0.185
38,-1,0,1,-1,-2,-1,-1,-1,0.19
39,-1,-4,0,-2,-3,-2,-2,-1,0.195
40,-1,0,1,1,1,-1,1,-1,0.2
41,1,2,2,-1,0,0,1,0,0.20500000000000002
42,-2,-7,-6,-3,-1,-1,-1,-1,0.21
43,0,5,5,4,0,-1,0,-1,0.215
44,-3,-4,-2,-2,-1,-2,-1,-1,0.22
45,-1,9,2,1,1,1,1,0,0.225
46,-1,-3,-3,-1,0,-2,-1,-1,0.23
47,-1,-1,4,-1,-1,-1,-1,0,0.23500000000000001
48,-1,-5,-1,-4,-3,-2,-2,-1,0.24
49,1,-1,2,1,0,1,-1,-1,0.245
50,-3,-3,-2,-3,-2,-2,-1,-1,0.25
51,-1,0,-3,2,-1,0,0,1,0.255
52,0,4,1,-1,0,1,0,-1,0.26
53,-1,-7,-1,-3,-2,-3,-2,0,0.265
54,-1,-2,-1,-2,0,0,0,0,0.27
55,-1,-9,-5,-1,0,0,0,-1,0.275
56,-2,0,-1,-3,-3,-1,-4,-1,0.28
57,-3,-1,-2,-1,-1,-2,-1,-1,0.28500000000000003
58,1,4,0,1,-2,1,1,-1,0.29
59,-1,1,-1,-3,-1,-1,-2,-1,0.295
60,-2,-4,-2,-1,-2,-3,-1,-1,0.3
61,-1,-6,-1,1,1,0,2,0,0.305
62,-1,-3,3,1,1,2,0,0,0.31
63,-3,1,-2,-2,0,-2,-1,-1,0.315
64,1,5,3,1,1,-1,-1,1,0.32
65,-3,-2,0,-1,-1,-1,-2,-2,0.325
66,0,-5,-5,-4,-3,-1,0,-1,0.33
67,0,-3,3,-1,0,1,1,0,0.335
68,-1,2,0,-1,0,0,1,1,0.34
69,0,0,-1,-2,-2,-1,0,0,0.34500000000000003
70,-1,2,-1,-1,1,-1,-2,-1,0.35000000000000003
71,0,-3,-1,-2,-4,-2,-3,-2,0.355
72,-2,-7,-5,-2,-2,-1,-1,-4,0.36
73,0,0,2,0,0,0,-1,-1,0.365
74,-3,-5,-1,-1,0,-1,-1,-2,0.37
75,0,7,-3,0,1,1,0,0,0.375
76,-1,1,-2,0,0,-1,-2,0,0.38
77,-1,3,3,-2,-3,-1,-2,0,0.385
78,-1,-4,-4,-3,-3,0,0,-1,0.39
79,-1,-5,1,0,0,-2,0,0,0.395
80,0,-8,-3,-1,-1,0,1,-1,0.4
81,0,0,-1,-3,-2,-1,-1,-1,0.405
82,0,5,8,3,0,-1,0,1,0.41000000000000003
83,-2,-1,2,0,-1,-1,-2,-1,0.41500000000000004
84,0,8,4,-2,-1,-1,-1,-1,0.42
85,-2,-4,2,2,1,-1,0,0,0.425
86,1,0,2,-1,0,0,-1,-2,0.43
87,-2,-3,0,-3,1,-1,0,0,0.435
88,0,3,0,1,0,-1,-2,0,0.44
89,-1,-5,0,-1,-1,-1,-1,-2,0.445
90,-3,-2,1,-1,0,-3,-4,-1,0.45
91,0,5,1,-1,-2,-2,-1,-1,0.455
