slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,1,-1,-1,-2,0,0,-2,-1,0.0
1,0,0,1,0,1,0,-1,0,0.005
2,0,0,-3,0,-1,0,-3,0,0.01
3,-3,0,-1,-1,-2,-2,-1,-1,0.015
4,-2,0,0,1,0,-2,0,-1,0.02
5,0,-3,-4,-2,-2,0,-2,-1,0.025
6,1,-1,-1,-1,1,0,0,1,0.03
7,-1,0,-6,-4,-2,-2,0,-1,0.035
8,-1,2,1,1,0,-1,0,-1,0.04
9,-2,-1,-1,0,-2,0,0,0,0.045
10,0,1,2,0,-1,0,0,-1,0.05
11,1,-4,-1,-1,-1,-1,-2,0,0.055
12,0,0,-2,-1,0,-1,0,-2,0.06
13,-1,2,1,0,0,-1,0,0,0.065
14,-3,1,-1,-1,-1,-1,-1,-3,0.07
15,-2,0,1,0,-1,-1,-1,-1,0.075
16,0,0,1,0,-2,-1,0,-2,0.08
17,-1,-1,-1,-1,0,-1,0,0,0.085
18,-1,-2,-2,-1,-1,1,0,-1,0.09
19,0,0,0,0,-2,-2,-1,-1,0.095
20,-1,-2,-1,1,-2,0,0,0,0.1
21,-1,2,-1,-3,-2,-1,-1,-1,0.105
22,-2,-1,0,-1,0,-1,-1,0,0.11
23,-1,2,1,0,0,0,-1,0,0.115
24,0,-2,-2,-1,0,-1,0,-2,0.12
25,0,-2,-1,1,-1,-1,0,-1,0.125
26,-1,1,2,2,-1,0,0,-1,0.13
27,-1,0,0,0,-1,-1,1,0,0.135
28,-2,-3,-2,-3,-3,-1,-2,-1,0.14
29,1,0,-3,-3,-1,0,0,-2,0.145
30,-1,-3,-3,-2,-2,-1,-2,0,0.15
31,0,-1,-1,-2,0,1,-2,-1,0.155
32,0,0,1,0,-1,-1,0,0,0.16
33,-2,-4,-1,0,-1,-1,-1,-1,0.165
34,-1,1,-2,0,-2,-1,0,-2,0.17
35,0,2,0,-2,0,-2,0,-2,0.17500000000000002
36,-1,-1,0,-1,-2,-1,-2,1,0.18
37,-1,0,0,-3,-1,0,-2,0,0.185
38,-2,0,1,0,0,-1,0,-1,0.19
39,-1,-1,0,2,0,0,-2,0,0.195
40,0,-1,2,-1,-1,-1,-1,-3,0.2
41,-1,0,2,2,-1,-2,0,0,0.20500000000000002
42,-1,-3,-2,-2,0,-3,-3,-1,0.21
43,0,0,1,0,0,1,0,0,0.215
44,1,0,0,1,1,0,0,0,0.22
45,-1,-1,-2,1,0,0,0,-2,0.225
46,0,1,2,1,-1,-1,0,-2,0.23
47,-1,-2,-2,-3,-2,-3,-2,0,0.23500000000000001
48,-2,-1,0,0,0,-1,0,-1,0.24
49,-1,0,-3,-3,-2,-2,-1,0,0.245
50,-1,-3,1,-2,0,0,0,-1,0.25
51,-1,0,1,0,-2,-1,0,-2,0.255
52,0,-1,1,-1,0,1,-1,-1,0.26
53,0,0,-4,-3,1,0,-1,-2,0.265
54,0,-2,-1,-1,-1,-2,-2,0,0.27
55,0,-4,0,0,-2,-2,-1,1,0.275
56,-2,-1,-1,-1,-2,-2,-1,1,0.28
57,1,-1,1,-1,-2,0,-2,-1,0.28500000000000003
58,-1,-5,-1,-3,-1,1,-1,-1,0.29
59,1,-2,0,-1,0,1,0,-1,0.295
60,0,2,-2,-1,-1,-2,0,0,0.3
61,-1,-1,1,-1,0,-1,0,-1,0.305
62,0,2,0,2,2,-1,0,0,0.31
63,-2,2,-1,-2,-1,-2,-2,-1,0.315
64,0,-4,-1,-1,0,0,1,-1,0.32
65,1,2,1,-1,1,-1,-1,-1,0.325
66,0,-1,1,1,0,1,-1,1,0.33
67,1,1,0,-1,-2,0,-1,1,0.335
68,-1,-1,-1,-1,-1,0,-1,0,0.34
69,-2,-1,-2,-1,-2,-4,-1,-2,0.34500000000000003
70,1,0,1,1,-3,0,-2,2,0.35000000000000003
71,-1,-2,-2,-2,0,-1,0,-2,0.355
72,-2,1,-2,0,-2,0,0,-1,0.36
73,-1,-4,0,0,-1,0,-1,0,0.365
74,-3,-3,-1,-2,-2,-3,-2,-2,0.37
75,-2,-1,-2,0,-1,0,-1,1,0.375
76,-1,0,-1,-1,0,-2,-1,-1,0.38
77,0,-1,-1,2,1,0,-1,0,0.385
78,-2,-4,-3,-3,-2,-1,-1,-1,0.39
79,0,-2,-1,0,0,0,0,0,0.395
80,-1,-1,-3,-2,-2,-2,0,-2,0.4
81,1,2,0,-2,-2,-1,-2,1,0.405
82,-2,-2,-2,-3,-1,-3,1,-2,0.41000000000000003
83,-1,1,1,2,1,-1,-1,-2,0.41500000000000004
84,-2,-3,-2,-1,-1,-2,-1,0,0.42
85,-1,-2,-1,-3,-3,-1,-1,-1,0.425
86,1,1,-2,0,0,0,0,0,0.43
