slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,-3,-2,-3,0,0,-2,1,0.0
1,-1,1,-2,-1,-1,-2,-1,-1,0.005
2,-4,0,1,0,0,0,-1,-2,0.01
3,0,0,-1,-3,-2,0,0,0,0.015
4,2,-1,1,1,0,-1,0,-2,0.02
5,-1,-2,-4,-3,0,0,-2,-1,0.025
6,1,0,3,1,-1,0,-2,-1,0.03
7,-1,-1,-2,-5,-1,-1,1,0,0.035
8,0,0,-2,-6,-2,0,0,0,0.04
9,2,-1,2,3,-2,-1,1,0,0.045
10,-1,-2,-1,-1,-2,-2,1,0,0.05
11,1,0,-6,-12,-4,-1,-2,-2,0.055
12,0,0,-3,-1,0,1,0,0,0.06
13,0,1,0,2,1,-1,0,-1,0.065
14,-2,-4,-3,-4,0,-2,0,-1,0.07
15,-4,-3,2,2,2,-2,-2,-1,0.075
16,0,-1,0,1,-2,0,-1,1,0.08
17,1,1,-1,-3,-3,-1,-3,-1,0.085
18,-1,-2,-2,1,-2,-1,0,-1,0.09
19,0,5,1,5,-2,0,1,0,0.095
20,-2,-3,-3,-2,-1,0,0,-1,0.1
21,-1,-1,0,-1,0,-1,-2,-2,0.105
22,0,-2,-3,-1,1,0,-1,-1,0.11
23,-2,-1,-2,1,-1,0,0,-2,0.115
24,-2,-2,-8,-14,-3,-1,0,-1,0.12
25,-1,5,1,-3,1,0,0,0,0.125
26,0,1,3,2,-1,-2,-2,-1,0.13
27,1,0,0,-4,-1,-1,-2,0,0.135
28,-1,3,2,6,3,0,0,-1,0.14
29,-3,-3,1,-1,-2,-2,-1,-2,0.145
30,0,-2,0,-1,-1,0,-1,-2,0.15
31,0,-4,2,2,-2,0,-1,0,0.155
32,1,6,-3,-1,-1,-1,0,0,0.16
33,-1,-1,1,0,-3,0,-2,-2,0.165
34,-1,-2,0,3,0,1,-1,0,0.17
35,0,-1,-4,-5,-2,-1,-1,0,0.17500000000000002
36,0,-2,1,6,2,-1,-2,-1,0.18
37,-1,-1,1,0,-1,-2,-1,-1,0.185
38,1,0,0,-3,0,-2,1,-1,0.19
39,0,0,-1,1,-1,0,1,-3,0.195
40,0,0,2,1,-1,0,0,-1,0.2
41,1,0,-3,-6,-1,-2,0,0,0.20500000000000002
42,-3,-1,-1,-3,0,-2,-3,-1,0.21
43,1,-1,-2,3,0,0,0,0,0.215
44,-2,3,1,0,-3,0,-1,-1,0.22
45,-1,-2,-1,-1,-1,-2,-2,0,0.225
46,-2,-1,-2,-1,-1,-3,-2,-1,0.23
47,-1,0,0,1,0,-3,-1,0,0.23500000000000001
48,1,-2,-1,-3,-1,0,0,1,0.24
49,-5,-6,-1,6,1,-2,-1,-3,0.245
50,-1,4,-3,-3,-3,0,-1,-1,0.25
51,-2,1,0,2,0,-1,-2,-2,0.255
52,-1,-2,-3,-2,0,0,0,-3,0.26
53,-2,-2,2,0,1,0,-1,0,0.265
54,0,-1,-1,1,-1,-1,0,0,0.27
55,0,-1,-3,-1,-1,0,-2,1,0.275
56,-2,4,5,0,-1,0,-1,0,0.28
57,0,-3,-3,-3,0,1,-1,0,0.28500000000000003
58,-1,2,1,-1,-1,-1,1,-1,0.29
59,-2,-1,0,-1,0,1,-1,0,0.295
60,0,-3,-4,-1,1,-1,-1,0,0.3
