slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,1,-1,2,-2,-1,-1,-2,0.0
1,-1,-1,0,1,0,0,0,-1,0.005
2,-1,-2,-3,-3,-3,-2,0,-2,0.01
3,-1,-1,2,-1,0,-1,-1,-1,0.015
4,2,0,-2,-4,-1,0,1,1,0.02
5,-4,-5,-1,-3,-2,-3,-2,-1,0.025
6,1,-2,-3,-2,-1,-1,-3,-1,0.03
7,-1,0,-6,-3,-1,1,-1,1,0.035
8,-1,0,8,0,1,-1,-3,0,0.04
9,-3,-2,-17,-2,0,0,-2,0,0.045
10,-1,-2,1,-2,-1,0,1,-2,0.05
11,-1,0,0,-1,-1,-2,-1,-2,0.055
12,-1,-1,-3,-1,-2,0,0,-1,0.06
13,0,1,6,1,0,0,0,0,0.065
14,1,1,0,0,-1,2,1,0,0.07
15,1,0,-1,1,0,1,0,-1,0.075
16,-2,-1,-1,-1,1,1,-1,0,0.08
17,1,2,3,1,1,0,-1,1,0.085
18,-1,0,-1,0,-2,-2,-2,-1,0.09
19,-1,-3,0,-4,-4,-2,-3,-1,0.095
20,-1,-2,-4,0,-2,0,0,-1,0.1
21,2,-2,4,-1,0,-3,0,-2,0.105
22,-2,1,2,1,1,3,0,0,0.11
23,-2,-2,1,1,-1,-3,0,1,0.115
24,-1,-2,0,-2,-2,0,-1,2,0.12
25,-1,0,1,3,0,-2,-1,0,0.125
26,-1,0,-2,-2,-2,-2,-1,-1,0.13
27,-1,-1,0,0,-1,0,-1,-1,0.135
28,0,0,-2,-2,-1,-1,-1,0,0.14
29,-3,-3,-2,0,-2,-1,-1,-1,0.145
30,-1,0,1,-2,0,1,-1,1,0.15
31,-2,0,-7,1,2,-1,-1,-1,0.155
32,-1,-1,-1,-3,-2,0,1,-1,0.16
33,-1,-1,0,0,-1,-1,0,-3,0.165
34,1,0,-1,2,-1,-1,0,0,0.17
35,-3,0,1,-1,0,0,0,0,0.17500000000000002
36,0,-2,2,0,0,0,-1,0,0.18
37,-1,-1,-4,-5,-1,0,-3,-1,0.185
38,0,0,2,3,1,-4,2,-1,0.19
39,-1,0,-1,-2,-1,3,0,-1,0.195
40,0,-1,-1,2,0,-2,0,-1,0.2
41,-1,0,2,2,-2,1,1,-1,0.20500000000000002
42,-2,0,-3,-4,-2,0,-2,-1,0.21
43,0,-1,-4,-1,-1,-2,-1,1,0.215
44,-1,0,-3,0,0,-2,-2,-1,0.22
45,-1,0,-3,1,0,-2,-1,0,0.225
46,-1,-2,-1,-1,-1,0,-2,0,0.23
47,1,0,2,-1,-1,-1,-1,-2,0.23500000000000001
48,0,0,1,1,0,-2,-2,-1,0.24
49,0,-2,-3,-4,-3,-1,0,0,0.245
50,-3,0,-1,1,-2,-2,-1,-1,0.25
51,-1,0,0,-2,0,-1,-2,-1,0.255
52,0,0,2,3,1,-2,0,-1,0.26
53,0,0,-10,-3,0,-1,0,-1,0.265
54,-2,-2,5,-1,1,-1,-2,-2,0.27
55,0,0,2,0,-2,0,0,-1,0.275
56,0,-1,1,0,-1,-1,0,-2,0.28
57,-2,-3,-4,-2,0,1,-2,-1,0.28500000000000003
58,0,-2,-1,-1,-2,0,-1,-1,0.29
59,0,-1,-3,0,-1,-5,-2,0,0.295
60,-1,-4,0,1,-1,-1,0,1,0.3
61,-2,-1,0,-1,-2,-2,2,0,0.305
62,2,2,-3,-1,-1,0,0,1,0.31
63,-1,-3,0,1,-1,0,-1,-2,0.315
64,-2,-1,-2,-4,-2,-2,-3,-1,0.32
65,0,2,3,-3,1,6,-2,-1,0.325
66,-2,-1,-1,0,0,0,-1,-1,0.33
67,0,-3,-4,-4,-2,-1,0,-1,0.335
68,-2,-1,0,0,-2,0,0,-2,0.34
69,0,-2,0,-1,-2,-3,-1,-2,0.34500000000000003
70,-1,-1,-1,2,0,0,-1,0,0.35000000000000003
71,0,0,-2,-1,-2,0,-2,-1,0.355
72,0,-2,-3,1,-1,0,0,-1,0.36
73,-1,-1,-1,-6,-2,-1,-2,1,0.365
74,-2,0,-2,-3,0,1,-1,0,0.37
75,0,-2,3,4,1,-2,-1,-1,0.375
76,-2,-3,-3,-3,-4,-1,0,-1,0.38
77,-1,1,-2,0,-1,0,0,-1,0.385
78,1,0,1,1,-1,-1,-1,-2,0.39
79,0,-1,-3,-1,-1,0,-1,1,0.395
80,0,1,0,-3,-3,0,1,-2,0.4
81,-1,-2,-1,0,-2,-1,0,-2,0.405
82,-1,-2,-3,-3,-1,-3,-1,0,0.41000000000000003
83,-1,1,2,0,-1,0,-2,-1,0.41500000000000004
84,-2,1,-3,-1,0,1,-1,0,0.42
85,0,-2,0,-3,-2,-2,-1,-2,0.425
86,0,0,-2,1,-1,4,2,0,0.43
87,-2,1,-4,-2,0,-1,1,-3,0.435
88,0,-3,-1,1,0,-1,0,-1,0.44
89,-3,-1,1,2,-1,-5,-1,0,0.445
90,-1,-2,-3,-6,-2,-2,-2,-1,0.45
91,-1,-2,-1,2,-1,-2,-1,1,0.455
92,-1,2,-1,-4,1,-3,-3,-2,0.46
93,-1,-1,4,1,1,0,-1,0,0.465
94,0,-2,-2,3,-2,-2,0,-4,0.47000000000000003
95,-1,1,1,-3,-1,-3,0,0,0.47500000000000003
96,0,-1,2,1,-1,-1,0,-1,0.48
97,1,-1,3,3,0,-1,-2,0,0.485
98,-1,-1,-1,-4,-3,1,-1,1,0.49
99,0,-1,-1,0,0,-3,0,0,0.495
100,-3,-1,-2,0,1,0,-1,-2,0.5
101,-1,1,0,2,0,-1,-1,-1,0.505
102,1,-1,-3,-1,-1,-3,-1,-1,0.51
103,1,0,6,1,0,0,0,-2,0.515
104,0,-1,-2,-1,0,-1,-2,0,0.52
105,-1,-1,-4,-1,-2,1,-2,0,0.525
106,-1,0,-2,-2,-2,-2,0,0,0.53
107,-1,-1,-4,-1,-1,1,-1,-1,0.535
108,0,-1,-1,-1,-1,0,-1,0,0.54
109,0,1,2,1,0,-2,-1,-1,0.545
110,-1,0,2,-2,-1,-3,-2,-1,0.55
111,-2,-3,-6,-3,-2,-2,-1,-1,0.555
112,1,0,-1,-1,-1,-1,-1,-1,0.56
113,0,1,-1,2,-1,-1,-1,-1,0.5650000000000001
114,-1,-1,0,2,-2,-1,-2,-4,0.5700000000000001
115,-1,-1,-3,-2,0,2,0,-1,0.5750000000000001
116,-1,-1,1,-1,-2,1,-3,-1,0.58
117,-1,0,0,0,0,-1,-1,-1,0.585
118,0,1,-1,2,1,-1,0,0,0.59
119,-1,-2,1,2,-2,1,0,1,0.595
120,1,0,-5,-3,-1,1,0,0,0.6
121,-1,-2,2,-3,-1,1,0,-1,0.605
122,-2,0,-4,0,-2,1,0,-2,0.61
123,0,0,3,-2,0,-1,-1,-1,0.615
124,-1,-1,-7,2,1,-1,-1,-1,0.62
125,2,1,0,1,0,-1,1,1,0.625
126,0,0,2,-1,0,-2,-2,0,0.63
127,-1,-3,-4,-3,-2,-2,-3,-1,0.635
128,0,0,-1,-2,-1,3,2,-1,0.64
129,0,-2,0,-1,-2,-1,-2,1,0.645
130,-2,0,-1,-2,-2,-2,-1,0,0.65
131,1,2,0,1,-2,1,0,0,0.655
132,-2,-2,1,-1,-1,-4,-1,-1,0.66
133,1,-2,-3,-1,-1,0,-3,0,0.665
134,1,0,4,2,2,1,0,1,0.67
135,0,-1,-4,-6,-1,-3,-1,0,0.675
136,0,0,2,-3,-2,-1,0,-1,0.68
137,-4,-3,-2,-2,-1,-1,1,0,0.685
138,0,0,0,1,0,0,-2,0,0.6900000000000001
139,-1,-1,-4,2,2,0,-2,-1,0.6950000000000001
140,0,-3,-1,1,0,-2,-2,-2,0.7000000000000001
141,-1,0,1,-1,0,-2,-1,-1,0.705
142,-2,-1,-6,-3,-2,-1,-2,-2,0.71
143,-2,-1,0,-1,1,-1,0,-2,0.715
144,-1,-1,2,-1,-1,-1,-1,1,0.72
145,-1,-2,-5,-1,-1,2,-2,-1,0.725
146,1,-1,2,0,0,-2,0,0,0.73
147,-1,-1,0,1,-1,1,-1,0,0.735
148,-1,-3,-2,-2,-2,-1,0,-1,0.74
149,0,-4,-4,-1,-2,-1,0,-2,0.745
150,-3,-1,-9,-5,-2,0,-2,-2,0.75
151,-2,0,2,-2,-1,2,2,-1,0.755
152,-1,0,0,0,1,-2,-1,0,0.76
153,-2,2,1,0,0,-1,-2,-1,0.765
154,0,-4,-3,-1,-2,-4,0,-1,0.77
155,1,0,-2,1,1,-1,-3,-1,0.775
156,-2,-1,-3,-5,-1,-1,-1,-2,0.78
