slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,-2,-6,-4,-2,0,-2,-2,0.0
1,2,-2,-1,-3,-1,-1,0,1,0.005
2,-1,0,0,1,-2,0,0,1,0.01
3,1,-1,2,0,0,-2,1,1,0.015
4,-2,-1,-3,-1,0,0,0,-1,0.02
5,-1,-1,1,0,0,-1,1,-1,0.025
6,-1,-3,0,-1,0,1,2,-1,0.03
7,-3,-5,-8,-5,-1,-1,1,-1,0.035
8,-2,-1,0,1,0,-2,-2,-1,0.04
9,-2,0,-1,0,0,-2,-4,1,0.045
10,-1,-2,-2,0,-1,-3,-1,-2,0.05
11,1,1,2,2,-1,-2,0,-1,0.055
12,0,-1,-4,-3,-1,-3,1,1,0.06
13,-2,1,-2,-2,1,-1,0,0,0.065
14,-1,-1,-2,-1,-2,-1,-2,-1,0.07
15,-1,1,0,-2,-2,0,-2,-1,0.075
16,1,2,3,0,-2,-1,-1,1,0.08
17,-2,-3,-2,1,-1,1,-4,-1,0.085
18,2,-1,-1,-4,-1,-1,4,0,0.09
19,2,-1,2,-1,-1,-2,1,3,0.095
20,-1,-1,2,-1,0,1,0,0,0.1
21,-1,1,2,1,-1,0,1,-2,0.105
22,-2,0,-3,-1,-2,-2,0,0,0.11
23,-1,0,1,1,-1,0,-1,0,0.115
24,-3,0,0,2,-1,0,-2,0,0.12
25,-1,0,-2,-5,-2,-1,-3,-2,0.125
26,0,-1,1,0,0,2,-1,-3,0.13
27,0,1,1,-1,0,-1,0,-2,0.135
28,0,-4,-5,-2,-1,0,-1,-2,0.14
29,0,0,-1,0,0,0,-2,0,0.145
30,0,0,-1,-2,0,0,-2,1,0.15
31,0,-1,-2,-4,0,-2,-3,-2,0.155
32,-1,0,0,2,1,-2,-2,1,0.16
33,-1,-1,0,0,-2,-1,-1,-1,0.165
34,1,0,1,-1,1,-1,-1,-3,0.17
35,0,-1,-2,1,0,0,1,0,0.17500000000000002
36,0,1,0,-3,-2,-1,-3,-3,0.18
37,1,-1,-2,2,0,-1,0,-1,0.185
38,-2,-1,0,2,-2,-1,0,1,0.19
39,-1,2,3,2,-2,-1,-1,1,0.195
40,-3,0,1,-1,0,1,1,-2,0.2
41,-1,-3,-2,-1,0,2,0,-1,0.20500000000000002
