slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,2,7,0,-5,-3,-2,1,-1,0.0
1,-4,-14,-8,-1,-1,0,-2,-1,0.005
2,-2,10,1,-3,-1,1,-1,-3,0.01
3,1,-1,-1,4,4,0,0,2,0.015
4,-2,4,3,1,-1,0,-1,-1,0.02
5,4,28,7,-1,0,-1,-1,1,0.025
6,-2,-23,-15,0,0,-1,-2,-1,0.03
7,-8,-20,2,-4,-5,-3,-3,-10,0.035
8,-4,0,-1,7,5,0,0,2,0.04
9,1,-3,-1,-2,-3,-1,0,5,0.045
10,3,9,1,-6,-3,0,-1,1,0.05
11,8,6,-4,0,3,0,0,2,0.055
12,-5,-6,-2,-1,0,2,0,-2,0.06
13,-2,12,2,1,-1,-1,-2,-5,0.065
14,2,10,6,0,0,-1,0,1,0.07
15,0,-4,-6,-7,-6,-3,-3,-1,0.075
16,-3,-9,-7,-3,-2,-2,-2,-3,0.08
17,1,10,5,10,4,3,1,0,0.085
18,1,16,7,-5,0,-2,0,-1,0.09
19,-10,-47,-15,-11,-4,-2,-2,-2,0.095
20,1,11,-5,-3,-4,-3,0,1,0.1
21,1,-14,3,-2,-2,1,0,-1,0.105
22,-11,-28,-9,0,-1,-4,-1,-2,0.11
23,5,13,-1,-10,-5,-2,-1,-3,0.115
24,1,12,8,-1,-1,-1,11,16,0.12
25,7,15,2,6,5,1,-1,28,0.125
26,-14,3,-11,-7,-2,-1,-15,-70,0.13
27,-3,-20,-6,3,1,0,-6,-6,0.135
28,-4,-4,-2,0,0,-3,-6,-14,0.14
29,5,18,18,10,2,0,6,14,0.145
30,2,-20,-26,-8,-4,-1,3,14,0.15
31,4,11,10,-7,-6,-2,-2,1,0.155
32,1,-5,-12,-2,-2,0,1,4,0.16
33,-5,8,4,-1,-1,-3,-1,-8,0.165
34,2,-19,5,1,0,-1,0,10,0.17
35,1,15,-11,-3,-1,0,5,1,0.17500000000000002
36,4,11,4,3,0,0,-1,18,0.18
37,1,-33,-14,-3,0,-2,-11,-46,0.185
38,0,23,1,-1,-1,0,0,1,0.19
39,6,3,21,7,0,0,1,7,0.195
40,-2,-20,-21,-10,-3,-1,-1,-6,0.2
41,-12,5,-2,0,-1,0,2,8,0.20500000000000002
42,0,20,15,3,0,0,3,0,0.21
43,-1,-15,0,3,-2,0,0,-3,0.215
44,4,-4,0,11,4,0,-2,-7,0.22
45,-1,9,-7,-23,-10,-4,0,-5,0.225
46,19,-5,1,-1,-3,-2,0,12,0.23
47,-11,5,-2,-6,-2,-2,0,3,0.23500000000000001
48,-16,-4,9,7,3,3,1,-15,0.24
49,7,7,-3,0,-3,-2,5,13,0.245
50,-8,1,7,-2,-3,-2,-3,13,0.25
51,6,6,1,4,3,-1,-7,-33,0.255
