slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,0,1,-1,-1,-1,-1,0,0.0
1,-1,0,-1,-2,-2,-1,-1,-1,0.005
2,0,1,2,-1,-1,0,-2,-3,0.01
3,-2,-1,-4,0,1,-1,-1,0,0.015
4,0,0,-2,-2,-2,1,1,1,0.02
5,-2,0,0,0,-1,-1,-1,0,0.025
6,0,-1,-3,-1,-1,-3,-2,0,0.03
7,0,-1,0,-2,-1,-1,-1,-1,0.035
8,0,-1,-1,-1,-2,-2,0,-1,0.04
9,0,-2,-1,-1,-1,-1,0,-1,0.045
10,-1,-1,1,0,-1,0,-1,-2,0.05
11,1,0,-2,-1,0,1,1,0,0.055
12,-2,-1,-1,-1,1,1,0,-1,0.06
13,1,-2,0,-2,-1,-1,0,-1,0.065
14,-2,-1,0,0,1,0,-1,-1,0.07
15,-1,-2,-1,-1,-2,-1,-2,0,0.075
16,0,1,1,1,0,-3,-2,-1,0.08
17,0,0,0,1,3,1,-2,0,0.085
18,0,-2,-2,-3,-2,-1,-1,-2,0.09
19,0,1,2,-1,-2,-2,0,-2,0.095
20,-1,-2,-1,0,-1,0,1,-1,0.1
21,-2,-1,-3,0,-1,-1,-1,0,0.105
22,0,0,-1,0,-3,-1,0,2,0.11
23,-2,-1,-1,0,0,0,-2,-1,0.115
24,-1,-3,-6,0,4,0,-2,-1,0.12
25,-2,-1,-2,-2,-1,-1,-2,0,0.125
26,-1,-1,-1,-1,1,-1,-2,0,0.13
27,-1,-1,-1,-1,-2,0,-1,0,0.135
28,0,0,1,-1,-3,-2,-1,0,0.14
29,0,0,-1,-2,1,-2,-1,-1,0.145
30,1,-1,-1,0,-2,-2,-1,-2,0.15
31,-3,-1,-1,-2,0,-1,-2,-1,0.155
32,-1,-1,2,-1,-1,-2,0,-2,0.16
33,0,-1,0,1,-1,0,-1,-1,0.165
34,-2,0,0,-3,0,0,-1,0,0.17
35,0,-1,-2,0,-1,-1,1,-1,0.17500000000000002
36,2,0,0,-1,-1,-1,-1,-1,0.18
37,-2,-2,-3,-1,0,-1,0,0,0.185
38,0,-1,-1,-1,0,-1,-1,0,0.19
39,1,0,-1,-1,-1,0,-1,-1,0.195
40,-1,0,-1,-1,0,-1,-1,0,0.2
41,-1,0,1,0,-3,-1,0,-1,0.20500000000000002
42,0,-1,0,0,-1,-1,1,-2,0.21
43,-1,-1,-1,-3,-1,-1,-1,-2,0.215
44,-1,1,3,0,-1,-1,-2,-1,0.22
45,-2,0,-3,0,1,0,-3,0,0.225
46,-2,1,0,1,-1,0,-1,-1,0.23
47,-1,-2,1,1,0,0,0,0,0.23500000000000001
48,-1,-2,-2,-2,-1,0,0,-2,0.24
49,0,0,1,-1,-1,-1,-1,0,0.245
50,0,0,0,0,-1,-2,0,-1,0.25
51,1,1,-1,0,-1,-1,1,-1,0.255
52,-2,0,-1,0,2,0,-2,0,0.26
53,0,-1,1,-2,-1,-1,0,-2,0.265
54,0,-2,-2,-1,-2,0,0,0,0.27
55,-1,-1,-1,-2,0,-2,-1,1,0.275
56,-2,-3,-3,0,-1,-1,-2,0,0.28
57,0,0,1,0,0,-1,-1,-1,0.28500000000000003
58,-1,0,-1,0,-2,-1,0,-1,0.29
59,-2,0,0,0,-1,-1,0,-1,0.295
60,0,-2,-3,-3,-2,-1,-1,0,0.3
61,0,-2,-2,-1,-1,-2,-1,0,0.305
62,-1,-2,-1,-3,-3,0,-1,-1,0.31
63,-1,0,-3,-1,1,-2,-1,-2,0.315
64,0,0,2,0,-1,-1,-1,-1,0.32
65,-1,0,-2,0,-4,-1,-2,0,0.325
66,-1,0,1,0,1,-2,-2,1,0.33
67,0,-1,0,-2,-1,0,-2,-1,0.335
68,-1,-1,0,0,0,-1,-1,-2,0.34
69,0,-1,0,0,-1,0,0,-1,0.34500000000000003
70,0,-1,-1,0,0,1,-1,-3,0.35000000000000003
71,-1,-1,-1,-1,-2,1,0,-1,0.355
72,0,-1,-1,1,-1,-2,-1,0,0.36
73,-2,0,0,-2,0,-1,-2,0,0.365
74,-2,-1,-3,1,1,0,0,0,0.37
75,0,-4,-1,2,0,0,-1,1,0.375
76,-2,-1,-1,-1,-1,1,0,0,0.38
77,1,-3,-1,0,0,0,-1,-2,0.385
78,1,-1,0,-1,-1,0,-3,-1,0.39
79,-2,1,0,-1,-1,-2,-2,-1,0.395
80,0,0,-1,-2,-2,1,-1,-1,0.4
81,-1,-1,-1,0,-1,-1,0,-1,0.405
82,-1,-1,1,-1,-1,-1,-1,-2,0.41000000000000003
83,0,-1,-2,0,-2,-1,-1,-1,0.41500000000000004
84,-1,-2,0,0,-1,-1,-1,-1,0.42
85,0,1,0,-1,0,-1,-2,-1,0.425
86,-1,0,1,-3,-1,0,0,0,0.43
87,0,-1,0,-1,0,0,-2,-2,0.435
88,0,-2,0,0,0,0,-2,0,0.44
89,0,-1,-1,0,-1,-2,-1,0,0.445
90,1,1,0,-4,-4,-4,-2,0,0.45
91,-2,-1,-2,0,0,-1,-1,0,0.455
92,-1,-1,2,0,-2,-3,2,-3,0.46
93,-2,-2,0,-1,-1,1,0,-1,0.465
94,-1,0,-1,-1,-2,0,-1,-2,0.47000000000000003
95,-1,0,0,-1,-1,0,0,-2,0.47500000000000003
96,0,0,0,0,-2,-2,-1,-1,0.48
97,1,-1,0,0,0,-1,-2,-1,0.485
98,-2,-2,-4,-1,1,0,0,-1,0.49
99,-2,-1,0,-1,-1,-2,1,-1,0.495
100,-1,1,1,0,-1,-2,0,0,0.5
101,-2,-2,-3,-2,-1,0,0,-1,0.505
102,0,-1,-2,0,0,0,0,1,0.51
103,2,-1,-1,-1,-1,-1,-1,0,0.515
104,-1,-2,-1,0,-1,-1,1,-1,0.52
105,-1,0,-1,-2,-2,-1,-1,-2,0.525
106,-1,-1,0,-1,0,-1,0,-1,0.53
107,-2,1,0,-1,-1,-2,0,-2,0.535
108,0,-1,-2,-2,-2,-1,-1,-1,0.54
109,-1,-1,-2,-1,0,1,1,-1,0.545
110,1,-3,-2,0,0,0,-1,0,0.55
111,0,-1,0,0,-1,1,-1,0,0.555
112,-1,-1,0,-3,-1,-2,-2,0,0.56
113,0,1,-2,0,-1,-2,0,0,0.5650000000000001
114,0,1,2,0,-2,-1,-1,1,0.5700000000000001
115,1,-2,-3,-2,-2,0,-2,-2,0.5750000000000001
116,1,2,1,-1,1,0,-1,-2,0.58
117,-1,-3,-4,0,1,-1,-2,-3,0.585
118,-1,-1,-4,-2,-1,-2,-1,-2,0.59
119,0,0,0,0,1,1,0,1,0.595
120,-2,0,-1,0,-1,-1,-1,-1,0.6
121,-1,-1,2,0,-3,3,-1,-1,0.605
122,-1,0,0,1,0,0,-1,-3,0.61
123,-2,-1,-4,-1,0,-1,-1,-1,0.615
124,-2,-1,-1,-3,-3,-2,-1,-1,0.62
125,-1,0,0,-2,-1,-2,-2,-3,0.625
126,-1,-2,0,0,0,0,1,-1,0.63
127,-1,1,1,-1,0,-2,-1,-2,0.635
128,-2,-1,-1,1,0,0,-2,-1,0.64
129,-1,0,-1,1,-2,-3,-1,-1,0.645
130,-2,-1,0,-2,-1,0,0,0,0.65
131,0,1,1,0,2,0,-1,-1,0.655
132,-1,-2,-3,0,0,0,-2,-1,0.66
133,1,-1,-2,-1,1,0,1,1,0.665
134,-1,-1,-3,-1,-2,1,0,-1,0.67
135,-1,0,1,-1,-1,0,0,1,0.675
136,0,-1,-2,-1,0,-2,-1,0,0.68
137,-1,1,1,-2,-2,-2,-2,0,0.685
138,-2,-1,0,-1,-1,0,-1,-2,0.6900000000000001
139,0,-2,-2,-2,-3,-1,-1,-2,0.6950000000000001
140,-1,-1,0,-3,-1,0,-1,-2,0.7000000000000001
141,-2,1,-1,0,-1,-1,0,0,0.705
142,-1,-1,0,-1,0,-2,0,-1,0.71
143,0,-2,1,-2,0,-2,-1,-1,0.715
144,0,-1,-2,0,-1,-1,0,0,0.72
145,0,0,-1,0,-1,0,0,-2,0.725
146,-2,-1,-2,-1,0,-2,-2,1,0.73
147,-1,0,-1,-3,-2,-2,-1,1,0.735
148,-2,-1,-2,0,-1,0,-1,0,0.74
149,-1,0,-1,-2,1,1,0,-2,0.745
150,-1,0,-1,-1,-2,0,-1,-2,0.75
151,0,-1,-2,-1,0,-1,-1,-1,0.755
152,0,-2,0,-1,-1,-1,-1,-1,0.76
153,0,1,0,-1,-4,-1,-1,-2,0.765
154,0,-1,-2,0,0,0,-1,0,0.77
155,-1,0,0,1,2,1,-1,-1,0.775
156,0,0,-1,0,0,-1,0,-1,0.78
157,-1,-1,-1,-2,-2,-1,-2,0,0.785
158,-1,-1,0,0,-3,1,-1,-2,0.79
159,-1,-1,0,0,-1,0,0,-2,0.795
160,0,-1,0,0,-1,0,-1,-2,0.8
161,-1,-1,1,-1,1,0,-1,0,0.805
162,-1,1,0,-1,-1,0,-1,0,0.81
163,0,-2,-2,0,-2,-1,-2,-1,0.8150000000000001
164,-1,-2,0,-1,0,-2,0,-1,0.8200000000000001
165,-2,-2,-1,-1,0,-2,-2,1,0.8250000000000001
166,0,0,-1,0,-2,-1,-1,0,0.8300000000000001
167,0,0,-1,-1,-2,-2,-2,-1,0.835
168,-1,-1,-2,-1,0,0,1,1,0.84
169,0,-1,-1,0,0,-2,0,0,0.845
170,0,-1,-2,-1,0,-1,-1,-2,0.85
171,-1,1,0,0,-2,0,-1,-1,0.855
172,-1,0,-1,-1,-2,-1,0,-1,0.86
173,-1,-2,-2,-2,0,0,1,-1,0.865
174,-1,-2,-1,-1,-2,1,0,-1,0.87
175,0,-2,0,0,-1,0,0,-1,0.875
176,1,1,1,-2,-1,-1,-2,-2,0.88
177,-1,0,0,2,-2,-1,0,-1,0.885
178,1,0,0,-1,-2,-2,0,-1,0.89
179,-2,-1,-1,-2,-3,0,0,-1,0.895
180,0,0,0,0,-2,1,0,0,0.9
181,0,-2,-2,-1,0,0,-1,0,0.905
182,-1,0,-1,1,1,-1,-1,0,0.91
183,-1,-1,-2,-1,0,0,-2,-1,0.915
184,-1,-1,-1,-2,-1,0,0,1,0.92
185,-1,1,1,0,0,-1,-2,-2,0.925
186,-1,-1,-1,0,1,-1,-1,0,0.93
187,-3,-2,0,0,0,0,0,-2,0.935
188,0,-1,-1,-2,-1,1,-1,0,0.9400000000000001
189,0,0,0,0,2,1,0,-1,0.9450000000000001
190,0,0,-1,0,-1,-2,-1,-3,0.9500000000000001
191,-1,0,-1,-2,-2,-1,0,0,0.9550000000000001
192,-1,-1,1,-1,-3,-2,-2,0,0.96
193,0,-1,-1,-3,-3,1,-2,0,0.965
194,-1,-1,0,1,-1,-1,0,0,0.97
195,0,-2,-1,0,0,-1,-2,-1,0.975
196,0,-2,-1,-1,-1,0,0,-2,0.98
197,-2,0,-2,0,0,-1,-1,-2,0.985
198,-1,-2,-2,-1,1,-2,-1,0,0.99
199,-1,0,-1,-2,-2,-1,0,0,0.995
200,-3,0,-1,1,-2,1,0,-1,1.0
201,0,-1,0,0,-1,-2,0,-2,1.0050000000000001
202,0,0,0,-2,-2,-1,1,-2,1.01
203,0,0,-2,0,-1,-1,-1,1,1.0150000000000001
204,-1,1,-1,-2,-1,-2,-2,-2,1.02
