slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,-1,-1,0,-4,-1,1,-1,0.0
1,0,-3,-1,-4,-2,0,1,-2,0.005
2,-1,0,2,2,3,-1,1,0,0.01
3,0,-4,-1,1,0,-2,-4,-2,0.015
4,-2,0,-2,-1,3,-2,-2,0,0.02
5,0,2,-2,1,-2,-2,0,-1,0.025
6,0,1,0,-2,-3,0,-1,-3,0.03
7,0,3,1,0,0,-1,2,1,0.035
8,-2,-3,3,-1,-3,1,-2,-2,0.04
9,-1,0,1,0,-4,-2,-1,-1,0.045
10,-1,-2,-1,-1,7,4,-1,0,0.05
11,0,2,2,-1,-1,2,0,1,0.055
12,0,-3,1,2,0,-1,0,0,0.06
13,1,1,-2,0,-3,-1,0,-1,0.065
14,-2,-1,-3,0,-5,-2,-2,-2,0.07
15,0,-1,-1,2,2,-1,0,-2,0.075
16,-1,1,-2,-3,-1,-2,1,0,0.08
17,-2,1,-1,-4,1,-3,-1,0,0.085
18,0,1,0,-1,1,0,-1,-1,0.09
19,-3,-1,-1,0,1,1,-2,-1,0.095
20,1,0,2,0,3,-2,-1,-1,0.1
21,-2,-2,0,-3,0,1,-2,-2,0.105
22,-1,-1,0,1,1,0,2,0,0.11
23,0,1,1,1,-7,-2,0,1,0.115
24,-1,0,2,0,2,0,-2,0,0.12
25,0,-2,2,0,-1,-3,-1,1,0.125
26,0,-1,-2,0,-1,-1,-2,-4,0.13
27,-1,2,0,-1,2,0,0,-3,0.135
28,-1,-2,-3,-2,-1,-2,0,-2,0.14
29,0,0,-2,-2,-3,1,-1,-1,0.145
30,-2,-2,-2,-2,-4,-1,0,2,0.15
31,-2,-3,-3,-3,1,-1,-1,0,0.155
32,0,10,-1,-2,-4,0,0,0,0.16
33,0,0,1,4,3,1,-1,-1,0.165
34,-1,1,1,-1,-4,1,-1,0,0.17
35,-1,2,-1,-3,-2,-2,0,-1,0.17500000000000002
36,-1,-6,-1,-2,-2,-2,0,-1,0.18
37,-1,-3,1,0,-1,0,-3,-3,0.185
38,1,-4,-1,2,0,1,-2,-2,0.19
39,0,-6,-2,0,3,2,-2,0,0.195
40,0,-7,1,-1,1,-2,0,1,0.2
41,-1,-2,-3,-6,-3,-4,2,0,0.20500000000000002
42,-1,1,-1,2,2,-3,0,-1,0.21
43,0,-3,-1,1,-4,-3,-2,0,0.215
44,-1,-6,0,-2,-2,-1,-2,-1,0.22
45,-1,-3,-1,2,2,1,1,-1,0.225
46,-1,1,0,-1,0,1,0,-3,0.23
47,-1,0,-2,0,-6,0,0,-3,0.23500000000000001
48,-2,-1,-3,-3,6,2,-3,-1,0.24
49,-2,0,0,-1,-5,0,-2,-1,0.245
50,0,0,-2,-4,0,0,-2,0,0.25
51,0,0,3,1,2,1,3,0,0.255
52,-1,3,1,1,0,-2,0,1,0.26
53,1,0,-3,-2,1,-1,-2,2,0.265
54,-1,-1,-1,-4,0,-5,-4,1,0.27
55,-1,1,3,0,-3,-1,-4,0,0.275
56,1,7,0,3,0,2,-2,0,0.28
57,-2,-2,-4,-2,2,0,0,-1,0.28500000000000003
58,-2,-1,-1,-3,-4,0,0,-1,0.29
59,-1,-2,1,-2,0,0,0,-1,0.295
60,0,-3,0,4,0,0,0,1,0.3
61,-1,-1,0,0,-3,-2,0,-2,0.305
62,-2,1,0,-2,0,-3,-3,-3,0.31
63,-3,-2,-1,2,2,-3,-1,0,0.315
64,0,1,0,2,0,0,-1,-1,0.32
65,0,-3,2,1,-2,-1,-1,-1,0.325
66,-1,0,0,-3,-1,0,1,1,0.33
67,0,1,-1,0,6,-1,1,0,0.335
68,-3,-3,-1,-4,-3,-2,-2,-4,0.34
69,-1,2,-2,0,2,-2,-4,1,0.34500000000000003
70,1,-5,-1,-2,-2,0,-1,-1,0.35000000000000003
71,0,-1,0,-3,-4,1,0,0,0.355
72,-1,-4,0,4,0,1,2,0,0.36
73,-2,-3,-1,-1,0,1,-1,-3,0.365
74,-1,2,2,3,0,-4,0,-2,0.37
75,1,-1,-2,-2,-1,-1,-1,0,0.375
76,-1,-4,-2,-2,-1,0,-2,-2,0.38
77,0,1,-1,-8,-2,-2,0,-2,0.385
78,-3,0,0,3,0,0,1,-1,0.39
