slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,-2,1,8,5,-1,-1,-1,0.0
1,0,-1,1,26,0,-1,-1,-1,0.005
2,0,-1,-1,-35,-2,-1,-2,-1,0.01
3,-1,-1,0,-16,-1,-2,-2,-1,0.015
4,0,0,-2,5,1,0,-1,0,0.02
5,0,-2,-1,2,-1,0,-1,0,0.025
6,-1,-1,0,13,1,-2,-1,-2,0.03
7,0,-1,-1,-21,-6,-2,-1,-1,0.035
8,0,0,-1,4,0,2,0,-1,0.04
9,-1,-1,-3,-17,-1,-1,0,0,0.045
10,-2,-1,-2,7,-1,-1,-1,-2,0.05
11,0,0,0,-2,-2,-1,-2,-2,0.055
12,1,-1,-1,-1,-3,0,0,1,0.06
13,-2,0,-4,-9,-8,-1,0,0,0.065
14,0,0,0,2,9,0,0,0,0.07
15,0,1,-1,11,2,-1,0,-2,0.075
16,-1,-1,-3,-8,-1,-3,-2,-3,0.08
17,-1,-2,-2,-3,0,-1,0,-1,0.085
18,1,-1,-2,-6,-13,-2,0,-1,0.09
19,-2,-1,1,13,8,1,0,-1,0.095
20,-2,-1,-2,-1,-3,-3,1,-3,0.1
21,-2,-3,0,-13,2,0,-1,-2,0.105
22,-2,0,0,-10,-2,-1,-1,0,0.11
23,-1,-1,-1,22,2,-1,-1,1,0.115
24,0,0,0,10,4,3,0,0,0.12
25,0,0,0,-3,-6,-2,0,-2,0.125
26,-1,-1,-1,-12,-2,0,0,-1,0.13
27,1,-1,-1,7,-4,-3,1,1,0.135
28,-1,-1,0,-10,1,0,1,1,0.14
29,0,-1,0,1,-5,-1,-1,-2,0.145
30,-1,-1,1,6,3,-1,-1,-2,0.15
31,-1,-1,1,-2,3,0,-1,-1,0.155
32,-1,-1,-3,-4,-4,-2,-1,-1,0.16
33,-2,-1,-2,-7,0,1,-1,0,0.165
34,0,-1,-1,-6,-4,-1,1,-1,0.17
35,-1,-1,-2,1,3,-1,-1,-2,0.17500000000000002
36,-1,-3,-2,-2,-13,-3,-3,-3,0.18
37,0,-1,0,1,8,2,0,-2,0.185
38,-1,0,-2,3,-6,-3,-2,-1,0.19
39,0,0,-3,-1,2,0,-1,0,0.195
40,-1,-1,0,-16,-5,-3,0,0,0.2
41,-1,-1,-1,17,6,-1,-1,1,0.20500000000000002
42,-2,0,0,-3,-5,-2,-1,1,0.21
43,-1,-2,0,1,3,-1,0,0,0.215
44,-2,-1,1,-6,-1,-1,1,-1,0.22
45,0,0,0,-3,-1,1,0,0,0.225
46,0,-1,0,-3,-8,-2,-1,-1,0.23
47,-2,2,0,0,3,1,-1,0,0.23500000000000001
48,-1,-1,-1,1,-2,0,0,1,0.24
49,-1,-2,1,3,9,0,0,-1,0.245
50,0,-1,-1,9,-7,-1,0,-1,0.25
51,-1,-1,-3,-11,-7,-1,-2,-2,0.255
52,0,-1,-2,3,1,-1,-1,-1,0.26
53,0,2,-1,-1,-11,-2,-2,0,0.265
54,-2,-2,-1,-6,5,0,1,-1,0.27
55,-1,-1,-1,-4,-6,-1,0,-1,0.275
56,-1,-1,-3,7,2,0,-2,-3,0.28
57,-1,-1,-2,-1,-3,-2,-2,0,0.28500000000000003
58,1,0,-2,-5,14,3,-2,-1,0.29
59,-1,-1,0,-29,-8,0,-1,0,0.295
60,-1,-2,-1,32,9,-1,-1,1,0.3
61,-3,-1,0,-9,-9,-1,-1,0,0.305
62,0,-2,-1,-5,-7,-2,-2,-1,0.31
63,0,0,1,15,6,0,-1,-1,0.315
64,0,0,-1,-11,2,0,-1,-3,0.32
65,0,-1,-1,0,0,-2,1,-1,0.325
66,-1,-1,-2,-13,-5,-1,-1,0,0.33
67,-1,-2,-2,8,-6,-2,0,1,0.335
68,0,0,0,-28,1,0,-1,-2,0.34
69,-1,-1,-2,4,2,-1,-1,-1,0.34500000000000003
70,-3,-1,-2,2,-3,-2,0,0,0.35000000000000003
71,-1,-1,-1,2,-6,-3,-2,-3,0.355
72,0,-1,-1,1,-4,1,-1,-1,0.36
73,-1,-1,-1,-6,2,0,0,0,0.365
74,-2,-1,-1,3,3,-1,-1,-2,0.37
75,-1,0,-1,3,-9,-3,-1,-1,0.375
76,0,-1,0,11,15,2,1,0,0.38
77,0,0,0,-2,0,-2,-3,-1,0.385
78,-1,-2,-1,8,1,-1,-4,0,0.39
79,-1,-1,-1,-1,2,-1,0,0,0.395
80,-1,-1,0,-16,-11,-4,-2,0,0.4
81,-1,-1,-2,14,0,-1,0,-2,0.405
82,1,0,0,-16,-7,-2,1,-1,0.41000000000000003
83,-1,-1,0,27,8,-1,-2,-1,0.41500000000000004
84,-1,0,-1,-6,-10,-1,-1,-1,0.42
85,-1,-2,-2,-20,4,1,-2,-1,0.425
86,-2,-1,-2,46,3,-1,0,0,0.43
87,0,-3,0,-10,4,1,1,-2,0.435
88,-1,-1,-2,-4,-4,-2,-1,0,0.44
89,-1,0,0,-1,-7,-2,0,0,0.445
90,1,-2,0,-6,10,1,-1,-2,0.45
91,0,-1,-3,-11,-6,-1,-2,0,0.455
92,-1,-1,2,17,1,-1,-1,0,0.46
93,0,0,-2,-9,-7,1,2,-2,0.465
94,-1,-1,0,-1,0,0,0,-1,0.47000000000000003
95,-1,-2,0,-3,-4,0,0,-1,0.47500000000000003
96,0,0,2,-7,1,-1,-1,-2,0.48
97,0,-1,-1,-1,1,-2,-1,1,0.485
98,0,0,0,-19,-11,-1,0,1,0.49
99,0,1,0,17,7,1,-1,0,0.495
100,-2,-2,-1,3,-1,0,0,1,0.5
101,0,0,1,-15,-9,-2,-1,1,0.505
102,0,0,-2,28,10,1,0,-2,0.51
103,-1,-1,-2,-22,-16,-4,-1,0,0.515
104,0,-1,0,2,17,2,0,-1,0.52
105,0,-1,0,38,4,-1,-2,-2,0.525
106,-2,-2,-1,-8,2,-4,1,-1,0.53
107,-2,0,-1,-18,-1,2,-1,0,0.535
108,-1,-1,0,5,-6,-3,-1,0,0.54
109,0,-1,-2,-13,-5,-1,-2,0,0.545
110,-3,0,1,-7,-2,2,-1,-1,0.55
111,0,-2,1,12,2,-2,0,-1,0.555
112,-1,-2,-1,-21,-15,-2,-1,-1,0.56
113,-1,-1,0,12,13,2,2,-1,0.5650000000000001
114,0,-1,0,-1,-4,-2,0,-2,0.5700000000000001
115,-1,-2,0,26,1,-1,-1,-2,0.5750000000000001
116,0,1,-2,-18,-2,-1,-1,0,0.58
117,-1,-1,0,-7,-4,-3,-1,-1,0.585
118,0,-2,-2,-4,-1,0,-2,0,0.59
119,-1,-1,0,-7,-3,-2,0,-1,0.595
120,-2,-2,-2,3,-4,-4,-1,-2,0.6
121,-1,-1,0,30,2,0,0,-1,0.605
122,0,0,1,-2,-7,-2,-1,0,0.61
123,-1,-1,-2,-22,5,1,0,-2,0.615
124,0,-1,-1,35,3,-1,-2,-1,0.62
125,0,0,-1,-18,-14,-3,-1,0,0.625
126,-1,-1,-1,-5,8,0,0,1,0.63
127,-1,1,-1,4,-1,0,0,-2,0.635
128,-1,-2,-1,-6,-4,0,-1,0,0.64
129,-1,-2,-1,-18,-2,1,-2,0,0.645
130,-1,-2,0,-7,-2,-3,0,-1,0.65
131,0,0,1,18,-9,-2,-2,-1,0.655
132,0,-1,-1,4,10,2,1,0,0.66
133,0,-2,1,-2,1,-2,-1,-3,0.665
134,0,0,-2,-1,0,0,0,0,0.67
135,-2,-1,-1,-11,0,-1,-1,-1,0.675
136,-1,1,1,-2,-7,-2,-2,-1,0.68
137,0,0,1,5,4,-1,-2,0,0.685
138,-1,1,-1,-7,-5,-2,-1,-3,0.6900000000000001
139,0,-1,-4,-14,-4,-3,0,0,0.6950000000000001
140,-1,-2,0,-1,2,0,0,-3,0.7000000000000001
141,0,0,-2,-9,-4,-1,0,-2,0.705
142,0,-1,-1,23,-1,0,-2,0,0.71
143,0,-1,-4,-44,-3,-1,-2,-2,0.715
144,-2,0,0,12,1,1,0,0,0.72
145,-2,-2,-1,-14,-5,-1,1,0,0.725
146,-2,-2,-1,-5,-9,-2,-1,0,0.73
147,0,-1,0,34,17,2,-2,-1,0.735
148,1,0,-1,-14,-7,-4,-3,-1,0.74
149,-2,0,-1,-2,2,-1,0,-1,0.745
150,-1,-1,-2,7,5,2,0,-1,0.75
151,-2,0,-1,-12,-5,-1,-2,0,0.755
152,0,0,-1,-3,3,1,1,0,0.76
