slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,0,0,-1,2,0,1,0,0.0
1,-1,0,-1,1,1,-1,0,-2,0.005
2,-1,-1,-1,1,-1,-3,0,1,0.01
3,0,0,0,-2,0,0,-3,-1,0.015
4,-2,-2,-1,0,-1,0,-1,0,0.02
5,0,-1,-3,-1,-1,0,-1,1,0.025
6,0,3,-1,-2,-1,0,-1,0,0.03
7,-1,0,-1,0,0,-1,2,1,0.035
8,1,2,2,2,1,-2,-2,-2,0.04
9,-1,-5,-1,-2,-1,-2,-2,-1,0.045
10,1,-1,-2,0,0,1,-1,0,0.05
11,0,-2,-2,-1,-2,-2,0,0,0.055
12,-2,-1,-1,-2,-4,1,-1,1,0.06
13,-2,0,0,-4,-2,0,-1,-1,0.065
14,-1,-2,-2,1,2,-2,-3,-1,0.07
15,-4,-4,0,1,-1,0,-1,-1,0.075
16,-1,-1,-1,-1,-2,-3,3,-2,0.08
17,-1,1,1,-2,-4,1,1,-1,0.085
18,-1,-2,1,-3,1,0,2,-2,0.09
19,0,1,0,-3,-1,-2,0,-1,0.095
20,-2,-2,0,0,-2,-1,0,-1,0.1
21,-1,-4,0,-2,0,-1,-2,0,0.105
22,-1,-4,-1,1,-1,-2,-1,0,0.11
23,0,2,2,1,1,-1,1,-1,0.115
24,0,1,1,1,2,1,1,-1,0.12
25,0,-1,-1,-1,1,1,-1,1,0.125
26,-1,-2,-1,-1,0,-2,-2,-1,0.13
27,-3,-3,-3,-6,-4,-3,-3,-1,0.135
28,1,2,0,2,1,-1,-2,2,0.14
29,1,2,0,3,-1,-1,0,-2,0.145
30,-1,4,1,-1,-1,1,1,-2,0.15
31,0,0,0,4,-2,0,-1,-1,0.155
32,-1,0,0,-1,-3,-2,-1,-3,0.16
33,-1,-1,-1,1,0,-2,-1,-1,0.165
34,1,1,-1,-5,-1,-2,-1,-1,0.17
35,-1,-1,0,-4,1,-2,-1,0,0.17500000000000002
36,-2,-3,-2,-4,-1,0,-2,0,0.18
37,0,0,0,1,-1,0,-2,0,0.185
38,-2,-6,-2,-2,-4,0,-2,-2,0.19
39,-1,-1,0,0,-2,-2,0,0,0.195
40,-1,-3,-2,-2,-1,0,1,-1,0.2
41,0,0,-1,-3,0,-1,-1,-2,0.20500000000000002
42,-1,-1,3,0,0,2,0,1,0.21
43,0,-2,-2,-1,1,2,0,-3,0.215
44,-3,-2,-2,-1,-4,-3,0,-1,0.22
45,-1,-1,-2,-4,-6,0,1,-2,0.225
46,0,0,-2,3,3,0,-1,-2,0.23
47,0,-5,0,-1,0,0,0,-1,0.23500000000000001
48,-1,-2,-3,-3,-2,-1,-5,0,0.24
49,-1,0,-1,-1,-2,-2,-4,-1,0.245
50,-1,1,-1,-1,-2,-1,-1,-1,0.25
51,-2,-1,-3,-1,-1,-2,-1,0,0.255
52,2,2,0,4,4,-1,1,-3,0.26
53,-2,-1,-1,-5,0,-2,-2,-2,0.265
54,-2,1,-2,-3,-1,-2,-1,-1,0.27
55,2,0,1,2,-2,-1,2,-1,0.275
56,0,-2,-2,-2,-2,1,-1,-2,0.28
57,-2,-4,-2,0,0,0,0,-2,0.28500000000000003
58,-2,-2,0,0,1,1,0,-1,0.29
59,-2,0,1,-1,-1,0,-4,-1,0.295
60,-1,-2,-1,2,-2,-1,-1,-1,0.3
61,0,4,-1,0,0,1,-4,-2,0.305
62,-2,0,-2,-3,-3,-3,-1,0,0.31
63,0,2,-2,-3,-4,-1,0,1,0.315
64,0,-3,-1,3,5,-2,-1,-1,0.32
65,1,-3,-1,1,0,0,0,1,0.325
66,-2,0,1,-1,0,0,-1,-2,0.33
67,-1,-2,0,-3,-1,0,-2,-2,0.335
68,-1,-4,-2,-6,-6,-2,-2,-1,0.34
69,0,-1,1,-1,-1,-2,-1,0,0.34500000000000003
70,1,-4,-1,-1,0,-1,1,-1,0.35000000000000003
