slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,3,-29,-37,-14,-5,0,-1,0.0
1,-3,-7,24,26,-4,-1,0,-2,0.005
2,2,9,7,15,25,7,4,-1,0.01
3,-1,-7,-11,-9,-6,-2,-2,-3,0.015
4,-3,8,-3,3,0,0,-2,0,0.02
5,-3,-12,-18,-21,-10,-2,-1,0,0.025
6,2,6,5,-13,-5,0,1,1,0.03
7,-2,-6,8,10,1,0,-2,1,0.035
8,1,2,4,11,7,1,-2,0,0.04
9,1,9,18,16,3,-1,-1,1,0.045
10,-1,0,-18,-6,-2,0,-1,-1,0.05
11,-2,-4,-19,-13,-4,-2,-1,-2,0.055
12,-1,-7,14,3,-7,-2,0,-2,0.06
13,0,-2,-8,-7,6,2,0,-2,0.065
14,0,2,8,9,-5,-2,-1,-2,0.07
15,0,0,-16,-26,-10,0,0,0,0.075
16,-1,-4,9,21,15,1,-3,-3,0.08
17,0,4,0,1,0,0,-1,-1,0.085
18,0,-10,-22,-22,-6,0,2,-1,0.09
19,-6,-1,15,18,1,-4,-5,0,0.095
20,1,-4,5,-3,1,1,-1,0,0.1
21,-1,2,-13,-4,-1,-1,1,-2,0.105
22,-1,-4,-14,-17,-7,0,-2,0,0.11
23,-3,2,1,-2,-4,-4,-1,-2,0.115
24,3,8,-1,-23,2,2,2,0,0.12
25,-2,-8,28,40,-5,-2,-1,-2,0.125
26,-3,1,-9,-16,1,-2,-1,0,0.13
27,0,0,-6,7,2,1,1,0,0.135
28,-1,2,3,-10,-6,-3,0,-2,0.14
29,1,2,-26,-13,10,2,2,0,0.145
30,1,-3,30,14,-5,-1,-1,-1,0.15
31,-1,-1,-10,3,7,1,0,0,0.155
32,0,4,11,11,7,4,1,1,0.16
33,-3,2,0,-4,-4,-1,-1,0,0.165
34,-3,-5,-18,-10,-11,-3,-3,-2,0.17
35,1,4,0,-9,1,-1,0,-1,0.17500000000000002
36,-3,-10,3,12,-1,0,1,-2,0.18
37,1,3,-4,-10,3,-1,-1,-1,0.185
38,-1,-4,-3,3,-2,-2,-1,-2,0.19
39,-1,0,-5,-9,-7,-3,-3,-2,0.195
40,1,0,-4,9,1,2,1,1,0.2
41,-2,-1,7,0,-1,-1,-1,0,0.20500000000000002
42,-1,1,-2,5,-2,-3,-4,-3,0.21
43,-1,-8,2,3,-1,-1,1,-1,0.215
44,0,-1,-1,-1,0,1,2,1,0.22
45,-2,-5,-24,-27,-10,-3,-2,-1,0.225
46,2,6,4,-3,9,1,0,1,0.23
47,-3,-4,29,20,-3,-2,-1,-2,0.23500000000000001
48,-1,7,-1,3,5,-1,-1,-1,0.24
49,1,-3,-10,3,2,0,0,-2,0.245
50,0,0,2,-4,-1,-1,0,0,0.25
51,-2,-8,-29,-20,-5,-1,1,-3,0.255
52,2,16,15,-2,-5,-2,-2,-1,0.26
53,-1,-3,9,13,1,-1,-1,-2,0.265
54,-1,-4,-5,0,-3,-2,0,-2,0.27
55,2,-1,-1,-4,1,1,-2,-2,0.275
56,-2,-5,-14,-3,-3,-2,-1,-2,0.28
57,-2,-8,7,4,0,2,-2,0,0.28500000000000003
58,-2,7,-5,0,0,-1,0,-2,0.29
59,0,-1,5,-3,-11,-4,-3,2,0.295
60,-1,-3,-4,13,5,0,0,-1,0.3
61,0,4,8,2,-1,-3,-1,0,0.305
62,-1,-9,-5,-2,4,-1,-1,0,0.31
63,-2,1,-13,-15,-15,-4,-2,-2,0.315
64,0,-1,3,3,11,5,0,0,0.32
65,-1,5,-8,-21,-2,-1,1,-1,0.325
66,0,-1,22,23,-3,-3,-2,1,0.33
67,0,3,-2,0,0,-1,0,-2,0.335
68,-2,-8,-6,-5,-9,-3,-2,-3,0.34
69,-1,-9,-13,-10,2,-1,-1,-2,0.34500000000000003
70,1,15,-19,-32,-9,-2,-1,-1,0.35000000000000003
71,-3,-12,22,36,17,2,1,1,0.355
72,-2,-6,-2,-3,-8,-2,1,0,0.36
73,1,4,1,3,0,0,-1,-2,0.365
74,-2,-4,-1,-3,-1,1,0,-1,0.37
75,1,5,-3,-16,-4,-1,0,1,0.375
76,-1,0,-9,1,-2,-2,-1,0,0.38
77,-2,0,7,14,-3,-1,-4,1,0.385
78,-1,-3,-2,5,1,0,0,-1,0.39
79,2,7,-2,-4,4,1,-1,-1,0.395
80,0,-2,-9,-12,-6,-1,1,0,0.4
81,-1,-1,10,1,-9,-4,-2,-2,0.405
82,-1,-13,1,2,6,2,-1,-1,0.41000000000000003
83,-1,7,-1,2,-3,-2,-1,1,0.41500000000000004
84,-1,0,-3,-10,-3,-2,-1,-1,0.42
85,-3,0,-2,2,-1,-1,-2,-1,0.425
86,0,-2,-4,4,0,-2,0,-1,0.43
87,-1,0,-5,-1,2,0,1,-1,0.435
88,1,2,-1,12,9,2,-1,1,0.44
89,-1,0,-6,-25,-11,-4,-2,-2,0.445
90,1,6,18,27,6,0,0,1,0.45
91,-3,-13,-16,-16,-6,-2,-2,-1,0.455
92,-2,7,14,13,9,0,2,-1,0.46
93,-2,-3,-24,-23,-3,0,-1,0,0.465
94,2,11,18,3,-4,-2,-1,-1,0.47000000000000003
95,-1,4,3,-25,-4,-2,0,-2,0.47500000000000003
96,0,-4,-2,26,13,3,0,1,0.48
97,0,-4,3,13,3,0,-1,-1,0.485
98,0,1,-7,0,-4,-1,0,0,0.49
99,0,4,-2,2,7,-1,-3,2,0.495
100,-2,-6,1,-8,-9,-3,-1,-3,0.5
101,1,0,0,-3,3,-1,-1,-1,0.505
102,-1,-17,-23,-18,-6,-2,-2,-1,0.51
103,0,11,22,6,-2,-1,-1,-1,0.515
104,2,4,4,4,-2,-1,-2,0,0.52
105,-1,0,5,10,-1,0,-1,0,0.525
106,-3,-6,-7,-13,1,1,-1,-2,0.53
107,-2,-6,-9,-2,-10,-2,-2,-1,0.535
108,1,-1,-4,-5,11,1,-1,1,0.54
109,0,3,8,-13,2,-2,-1,-1,0.545
110,-4,-5,-2,5,-6,-2,-2,-1,0.55
111,-2,-1,14,19,1,0,0,-3,0.555
112,-1,-1,5,8,2,2,-2,0,0.56
113,-2,-3,-4,-7,-4,-2,0,-2,0.5650000000000001
114,-1,1,-17,-14,-3,-3,-2,-1,0.5700000000000001
115,1,1,-9,-3,1,2,2,-2,0.5750000000000001
116,0,-4,7,-10,-5,0,-2,-1,0.58
117,-2,1,6,17,3,1,-1,0,0.585
118,-1,0,13,2,-1,-1,0,1,0.59
119,0,-5,-6,-1,0,-1,-3,-1,0.595
120,0,0,-17,-29,-15,-5,-1,-2,0.6
121,-1,-2,6,-11,-6,0,-1,-1,0.605
122,-3,-3,9,38,23,6,0,-2,0.61
123,1,2,-14,-12,-2,-2,-2,1,0.615
124,-2,7,11,21,0,-3,0,0,0.62
125,-1,-2,-1,-1,-6,-4,-3,-1,0.625
126,0,-4,-2,-12,-6,-2,0,-1,0.63
127,-2,-7,-7,-11,1,1,-2,-1,0.635
128,-2,-9,-1,6,-4,-1,-1,-3,0.64
129,0,8,12,0,-2,-3,0,-1,0.645
130,-1,1,-21,-16,1,-1,-2,-1,0.65
131,0,7,26,27,4,1,1,0,0.655
132,1,-5,2,-6,-2,1,-3,1,0.66
133,-1,-6,-1,6,-4,-3,0,-1,0.665
134,0,2,-15,-31,-3,2,-1,-3,0.67
135,-2,1,17,25,4,-2,-2,0,0.675
136,0,-1,-1,-10,-8,0,0,0,0.68
137,0,-7,-7,14,10,1,1,0,0.685
138,1,8,1,-12,-3,0,-1,1,0.6900000000000001
139,-2,-5,-8,0,-4,1,2,-1,0.6950000000000001
140,-2,6,-4,-9,0,-1,0,-2,0.7000000000000001
141,-1,-7,4,12,1,-1,-1,0,0.705
142,-2,6,9,1,-7,-1,-2,-1,0.71
143,0,-5,-12,-11,4,0,0,0,0.715
144,-2,-2,0,-2,-1,-4,0,-3,0.72
145,1,6,0,0,-1,1,-1,0,0.725
146,-2,-17,1,10,1,0,1,-1,0.73
147,-1,5,-4,-3,-4,-2,-1,0,0.735
148,-3,-1,-8,-15,1,-1,-1,-1,0.74
149,-2,-1,-6,-6,-3,-3,-2,0,0.745
150,-1,1,7,12,0,0,-1,1,0.75
151,1,2,-3,-2,-3,-1,-3,-1,0.755
152,1,-6,-15,-26,-5,0,-1,-3,0.76
153,1,7,8,21,13,2,-1,-2,0.765
154,-2,-4,6,15,-2,-1,-2,-2,0.77
155,-1,-4,-7,-13,-1,0,1,-1,0.775
156,-2,-1,5,13,-5,-2,-3,1,0.78
157,-1,2,-9,-12,-6,-3,-2,-1,0.785
158,3,2,-3,-7,6,0,-1,-1,0.79
159,-1,-1,9,7,-1,-1,1,0,0.795
160,-1,0,-3,1,-7,-3,-2,-2,0.8
161,-2,-6,-20,-23,-2,0,-1,0,0.805
162,-1,1,6,7,-5,-2,-1,0,0.81
163,-3,-1,-10,-5,1,0,-4,-2,0.8150000000000001
164,0,0,5,-17,-5,-2,0,0,0.8200000000000001
165,-3,-11,-12,4,-15,-2,-1,-2,0.8250000000000001
166,1,-2,16,20,7,0,0,-2,0.8300000000000001
167,1,2,5,3,2,0,-1,1,0.835
168,-3,-6,-6,-3,1,-2,-1,0,0.84
169,-1,-5,-11,-18,-4,-1,1,1,0.845
170,-1,3,-16,-17,-5,-1,-3,-1,0.85
171,1,0,8,2,-3,-3,0,-1,0.855
172,-3,-6,0,13,7,0,-1,0,0.86
173,2,4,-9,-19,-2,0,0,-1,0.865
174,-3,-8,37,27,0,0,-3,0,0.87
175,-3,-1,-25,-11,-4,-2,-1,-1,0.875
176,1,-2,-8,-3,-3,0,-2,-1,0.88
177,0,-4,-1,5,0,-1,0,0,0.885
178,0,6,-25,-22,2,1,2,0,0.89
179,-1,-2,29,11,-2,0,-1,-2,0.895
180,0,1,-16,-6,5,0,0,-1,0.9
181,0,-3,26,30,10,3,-2,-2,0.905
182,-2,-3,-14,-14,1,-2,-1,-1,0.91
183,1,0,-5,-6,-1,0,0,-1,0.915
184,-2,4,2,8,8,2,0,-3,0.92
185,-2,-4,6,10,-6,-3,0,-1,0.925
186,2,1,8,-1,-8,-5,-1,-1,0.93
187,0,-2,-13,-10,-1,-2,-2,-1,0.935
188,-2,0,2,-1,0,-3,-2,0,0.9400000000000001
189,-1,0,-5,-6,-4,-1,0,2,0.9450000000000001
190,-2,-1,1,0,-2,-1,-2,-2,0.9500000000000001
191,0,-2,-3,-9,-4,-1,-1,-3,0.9550000000000001
192,-1,2,3,3,-2,0,-2,-1,0.96
193,0,-2,-4,-8,1,0,0,-1,0.965
194,-1,-1,25,24,-5,-2,0,0,0.97
195,1,7,-16,-4,7,1,1,2,0.975
196,-2,-13,18,14,-1,0,-2,0,0.98
197,-3,-1,-19,-18,-13,-6,-4,-2,0.985
198,2,1,-14,-17,5,0,4,1,0.99
199,-3,-7,-3,5,-2,0,-1,-1,0.995
200,0,7,6,4,2,1,1,-2,1.0
201,-1,3,-15,-22,-5,-2,-2,0,1.0050000000000001
202,-2,-12,3,4,-3,-1,-1,-2,1.01
203,-2,-4,4,7,-4,-2,-1,-1,1.0150000000000001
204,0,-3,0,2,0,-3,0,1,1.02
