slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-8,-8,-12,-15,-21,-14,-10,-9,0.0
1,-2,-2,16,81,-33,-5,-1,-1,0.005
2,0,1,-8,12,63,19,6,1,0.01
3,-1,-6,-3,-6,-2,1,-1,0,0.015
4,-7,1,30,-11,-9,-10,-7,-7,0.02
5,1,-8,-20,-38,-14,-4,-2,0,0.025
6,-3,-4,-29,-18,-26,-9,-6,-3,0.03
7,1,8,38,12,2,2,1,0,0.035
8,-5,-7,25,-13,-6,-6,-5,-4,0.04
9,0,0,2,-4,12,5,1,-1,0.045
10,1,4,15,6,-8,-1,0,0,0.05
11,-3,4,-40,-20,2,-2,-3,-1,0.055
12,-7,-29,-29,12,-8,-6,-4,-3,0.06
13,1,8,18,-5,14,4,2,2,0.065
14,-1,-1,0,3,-4,-3,-1,0,0.07
15,0,-1,-2,-4,-12,-4,-2,-1,0.075
16,-4,3,-12,-11,-2,-3,-2,-1,0.08
17,0,-1,-2,-3,12,2,-1,0,0.085
18,1,-2,-2,0,-7,-1,1,0,0.09
19,-1,-4,1,11,0,-2,-1,-3,0.095
20,0,3,-8,2,3,0,-1,-2,0.1
21,1,0,-13,-24,4,1,1,-1,0.105
22,-1,4,13,-30,-13,-3,-1,0,0.11
23,-3,-5,5,36,-6,-5,-3,-1,0.115
24,0,-3,-4,-1,-24,-3,0,2,0.12
25,5,5,19,25,11,9,6,6,0.125
26,-10,-11,-24,-55,-35,-20,-13,-11,0.13
27,4,3,8,31,9,5,5,4,0.135
28,-1,-2,2,6,6,5,1,-1,0.14
29,5,2,1,2,0,6,6,5,0.145
30,-7,-7,0,-4,-21,-8,-7,-5,0.15
31,3,0,-7,-8,10,5,2,2,0.155
32,0,-1,5,-4,-1,-2,-3,-3,0.16
33,2,1,-7,7,11,6,6,4,0.165
34,-4,-5,14,-7,-16,-7,-6,-6,0.17
35,-1,-2,-8,-4,-5,-2,-2,0,0.17500000000000002
36,1,-1,1,1,8,0,-2,-2,0.18
37,0,-1,1,-7,2,0,0,0,0.185
38,-3,-5,-7,5,1,-5,-5,-5,0.19
39,-1,1,5,0,1,2,1,0,0.195
40,1,1,0,-10,6,0,3,3,0.2
41,-1,-2,-3,7,-5,-2,-1,-3,0.20500000000000002
42,-3,-3,-10,-1,3,-4,-4,-2,0.21
43,0,-1,-2,-13,-18,-7,-2,-1,0.215
44,-2,-1,1,12,4,-2,-2,-1,0.22
45,-2,-3,-2,-8,3,4,1,0,0.225
46,0,-1,-4,10,0,3,1,1,0.23
47,1,2,3,3,2,-1,-2,0,0.23500000000000001
48,-1,-2,-8,-9,-7,-4,-3,-4,0.24
49,-1,-3,1,-1,-11,-7,-4,-3,0.245
50,0,-1,-1,-14,0,0,1,-3,0.25
51,0,-1,0,16,1,-2,0,-2,0.255
