slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,1,5,3,2,0,-2,-1,0.0
1,-2,8,4,3,-2,-1,-4,-3,0.005
2,0,3,-5,-4,-2,-1,-3,0,0.01
3,-2,-8,12,-3,4,2,0,1,0.015
4,0,1,-26,-51,-5,-2,0,0,0.02
5,-1,0,49,79,3,-1,-1,-3,0.025
6,-2,-1,12,-2,1,-1,-2,-3,0.03
7,0,3,5,-4,0,-2,0,-2,0.035
8,2,-1,-22,-26,-8,-2,0,-1,0.04
9,-3,-6,-13,-34,-4,-1,-3,-1,0.045
10,-1,-2,10,-6,-4,-2,1,0,0.05
11,-1,-4,-25,6,7,-1,-1,-1,0.055
12,-2,-6,11,5,5,3,-1,0,0.06
13,-1,-5,-41,-52,-22,-10,-1,0,0.065
14,4,9,35,55,27,14,3,2,0.07
15,1,-1,-9,-24,-10,-5,-2,-1,0.075
16,0,0,4,22,0,-1,-1,-1,0.08
17,0,-2,-10,-15,1,0,1,1,0.085
18,-4,-6,-9,-14,-7,-4,-3,-1,0.09
19,-1,1,-9,10,-3,0,0,-3,0.095
20,-5,-11,10,17,5,-1,0,-2,0.1
21,0,-3,-8,1,-1,-2,-1,-2,0.105
22,-2,-1,-9,14,1,1,0,-1,0.11
23,-1,1,20,11,1,0,-1,-2,0.115
24,-4,-6,-17,12,4,0,-1,-2,0.12
25,0,3,-29,7,1,0,1,0,0.125
26,-2,0,23,-9,-1,-2,-3,0,0.13
27,2,3,23,-6,1,0,1,1,0.135
28,-1,-1,-18,-23,-6,-2,-2,-2,0.14
29,-2,0,7,9,2,-1,-3,-2,0.145
30,-1,-2,-25,-5,-2,1,0,-2,0.15
31,-2,0,-7,-9,-1,-3,0,-2,0.155
32,-1,-3,-3,0,-2,0,-3,0,0.16
33,-1,-2,-6,-53,-9,-2,1,-1,0.165
34,-1,-4,7,42,6,-1,-1,-3,0.17
35,-2,-1,1,-6,-2,0,-2,-1,0.17500000000000002
36,-1,-1,-2,-10,-3,-1,-1,-1,0.18
37,-1,-4,6,-27,-9,-3,-2,0,0.185
38,-2,-3,-1,8,11,3,0,-1,0.19
39,0,-3,-17,-13,-5,-3,0,0,0.195
40,-1,3,9,22,7,5,-2,-1,0.2
41,-2,1,-9,10,-2,0,0,0,0.20500000000000002
42,-2,3,16,-26,-9,-5,-1,-2,0.21
43,2,-1,6,12,1,1,-2,-1,0.215
44,0,0,-4,3,-5,-3,-1,-2,0.22
45,0,-2,3,7,1,-3,-1,0,0.225
46,0,1,-25,-54,-6,-1,1,1,0.23
47,-3,-1,1,77,7,-1,-2,-2,0.23500000000000001
48,0,4,26,0,-3,-2,2,-2,0.24
49,-2,-3,-27,-8,2,3,-2,-1,0.245
50,-1,-1,21,17,-1,-1,-2,-1,0.25
51,-1,5,4,-19,-2,0,0,1,0.255
52,0,-7,-13,-4,-1,-1,0,0,0.26
53,-2,-2,-3,18,1,1,-2,-3,0.265
54,1,1,3,-12,-3,-1,0,2,0.27
55,-2,-1,-4,-13,-5,-2,-2,-1,0.275
56,0,2,13,15,-6,-4,-2,-1,0.28
57,-2,-3,-8,-33,4,-5,-2,-3,0.28500000000000003
58,-1,0,-7,8,-4,-2,-3,-1,0.29
59,-2,-13,-9,15,29,19,2,1,0.295
60,1,1,-17,-24,0,-1,2,0,0.3
61,0,0,29,26,10,-3,-2,-2,0.305
62,-1,-1,-33,-26,-17,-8,-3,-1,0.31
63,0,0,0,20,-3,0,0,0,0.315
64,-2,-2,-26,-17,-7,-1,-1,0,0.32
65,0,6,44,9,0,2,0,1,0.325
66,-1,-5,0,18,6,2,-1,-2,0.33
67,1,-1,-11,-24,-13,-4,-1,0,0.335
68,1,-1,-3,-1,1,1,0,0,0.34
69,0,-1,-18,15,-7,-2,0,-1,0.34500000000000003
70,0,5,6,-4,7,1,1,0,0.35000000000000003
71,-2,-5,-7,-16,-6,-3,0,-1,0.355
72,-3,0,6,19,-8,-6,-4,-3,0.36
73,-2,-3,-1,-1,-4,-4,-1,-1,0.365
74,1,1,11,-3,13,10,1,1,0.37
75,-3,-1,-12,-19,-37,-17,-5,-3,0.375
76,1,0,13,28,57,25,9,4,0.38
77,-2,-1,-6,-6,-30,-11,-3,-1,0.385
78,0,-5,0,5,-10,-7,-4,-2,0.39
79,1,4,0,-15,23,12,0,0,0.395
80,-4,-2,-4,-3,-66,-22,-7,-4,0.4
81,2,2,11,14,59,30,8,3,0.405
82,-1,0,-8,5,-1,-4,1,-2,0.41000000000000003
83,-2,-4,1,1,-6,-9,-4,-3,0.41500000000000004
84,-1,-2,6,-14,13,0,-2,-1,0.42
85,0,2,-6,-18,-9,-2,-3,-1,0.425
86,0,-1,1,19,2,-3,1,-1,0.43
87,0,1,-3,-27,-19,-9,-1,-3,0.435
88,1,1,6,11,8,2,1,1,0.44
89,-2,-2,-20,-3,-17,-5,-3,-1,0.445
90,-3,-3,5,-11,-2,-2,-2,-1,0.45
91,1,2,1,11,8,2,0,0,0.455
92,-1,-3,-1,-28,-29,-10,-5,-3,0.46
93,2,3,0,21,21,13,5,3,0.465
94,1,-9,-1,9,14,13,2,3,0.47000000000000003
95,0,-2,-5,6,-4,-1,-2,-1,0.47500000000000003
96,2,12,7,1,13,7,0,1,0.48
97,-4,-16,-4,0,-17,-11,-4,-1,0.485
98,-2,2,-1,0,-6,-4,-2,0,0.49
99,-2,-3,2,0,3,0,-2,0,0.495
100,-1,-6,-5,2,9,2,0,-2,0.5
101,1,3,6,-6,-10,-5,-3,-2,0.505
102,-2,2,0,-3,-3,0,0,0,0.51
103,1,-5,-2,0,4,1,0,1,0.515
104,-1,-2,2,-8,-6,-3,0,-1,0.52
105,0,-1,4,9,1,-2,0,-1,0.525
