slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,-5,-1,-2,-1,-1,-1,-1,0.0
1,-2,-1,-3,-4,-2,-2,-2,-1,0.005
2,0,-1,1,-1,-2,1,1,0,0.01
3,-1,1,0,-1,-1,-3,-1,-1,0.015
4,0,0,-1,-1,1,-1,-1,0,0.02
5,0,1,-1,0,-1,-1,-2,-2,0.025
6,-2,-2,-1,-2,-1,-4,-3,-1,0.03
7,-3,-5,-4,-3,-2,0,1,-2,0.035
8,1,0,0,2,-2,-1,0,-1,0.04
9,-1,-4,-1,-1,-1,-2,-2,-2,0.045
10,-1,3,0,1,2,-1,-1,0,0.05
11,0,-1,-2,-1,-2,-1,-1,-1,0.055
12,-3,-3,-2,-2,-1,0,-1,-1,0.06
13,-1,0,1,1,-1,0,1,0,0.065
14,-1,0,0,-1,0,0,-1,-1,0.07
15,0,-1,0,-2,-1,-1,-1,0,0.075
16,-1,-2,0,1,1,1,-1,-1,0.08
17,0,0,0,-1,-1,-1,1,0,0.085
18,-1,-6,-4,-2,-2,-2,-3,-1,0.09
19,-2,-1,0,0,0,-1,1,-1,0.095
20,-2,-2,-3,-3,-3,1,1,-1,0.1
21,-2,-2,1,1,-1,0,-2,0,0.105
22,10,1,0,0,0,-1,-2,3,0.11
23,2,0,-3,-2,-1,-1,2,0,0.115
24,-1,0,-1,0,-1,-2,-4,-1,0.12
25,-2,1,-2,0,-1,2,0,-1,0.125
26,-3,1,0,0,-1,-2,0,0,0.13
27,0,-1,0,0,0,2,1,1,0.135
28,0,1,-1,-1,-1,0,0,-1,0.14
29,0,-1,2,0,-1,0,-1,-2,0.145
30,-1,-3,-2,-1,-1,-1,-2,-4,0.15
31,1,0,-1,1,-1,0,-2,-2,0.155
32,-3,-3,-2,-3,-2,-3,0,-1,0.16
33,0,-1,-2,-1,-2,-1,-2,-1,0.165
34,-1,0,-2,-1,-2,0,1,-1,0.17
35,-3,-3,-3,-2,-1,-2,0,-1,0.17500000000000002
36,1,2,1,3,1,1,0,1,0.18
37,-1,1,1,0,0,1,-3,1,0.185
38,-2,-2,-3,-3,0,-1,-1,-2,0.19
39,-1,0,1,-1,-1,0,1,0,0.195
40,-3,1,-1,0,-1,0,4,-3,0.2
41,-4,-3,-2,-3,-2,-2,-4,1,0.20500000000000002
42,13,5,1,2,0,0,8,4,0.21
43,-21,-1,0,0,-2,0,-8,-7,0.215
44,-2,-3,-3,-2,-3,-6,-7,-6,0.22
45,-1,0,0,2,0,-1,4,-2,0.225
46,-8,-3,2,-1,-1,1,-1,-2,0.23
47,5,-2,-3,-1,-2,-1,1,2,0.23500000000000001
48,-2,0,-3,-3,-1,1,1,0,0.24
49,-2,-1,-3,-3,0,0,0,-2,0.245
50,-3,-5,-2,-1,-1,-3,-2,-2,0.25
