slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-2,-1,-1,-2,-1,1,1,0,0.0
1,-1,-1,-2,-2,0,0,-1,-2,0.005
2,-1,0,-1,-1,0,-1,0,-3,0.01
3,1,0,0,0,0,-2,-1,-1,0.015
4,-1,-2,0,1,1,0,-1,-1,0.02
5,3,2,1,0,0,-1,-3,-1,0.025
6,-3,-3,1,0,-1,2,2,1,0.03
7,-1,-1,-3,-2,-2,0,-2,-2,0.035
8,0,1,-1,-1,1,-2,-1,-2,0.04
9,0,-2,0,-1,-1,-1,-1,-1,0.045
10,1,0,-1,-1,-1,-1,0,-1,0.05
11,-3,-2,1,1,0,-1,0,-1,0.055
12,-1,-1,-1,-1,-2,-1,-1,0,0.06
13,-2,-1,-2,1,0,1,0,-1,0.065
14,0,0,-2,-1,0,-1,-2,-1,0.07
15,1,0,-2,-2,0,0,0,-2,0.075
16,-2,-2,0,1,0,-2,0,-1,0.08
17,0,1,-1,-1,-1,-1,-2,-1,0.085
18,-2,-2,0,-1,-2,-1,1,-2,0.09
19,0,1,-1,0,-1,-2,-2,-2,0.095
20,-3,-11,-4,-1,-3,-1,-2,-2,0.1
21,-2,-3,1,1,-1,1,2,0,0.105
22,-3,-2,-2,-1,-2,-1,-3,-1,0.11
23,-3,1,-1,-1,1,0,0,0,0.115
24,-1,-1,-2,0,-2,2,1,-1,0.12
25,-1,1,-1,1,0,0,2,0,0.125
26,-1,0,-1,0,-1,-1,-1,-1,0.13
27,-1,-1,-1,0,-2,-1,-4,-1,0.135
28,0,-1,-1,-1,-1,-1,-2,-1,0.14
29,0,-2,-1,-1,-1,-1,-1,-1,0.145
30,-1,0,-2,-1,-1,0,1,-1,0.15
31,-2,-2,0,-1,-1,0,1,-1,0.155
32,0,0,2,0,-1,-3,-2,0,0.16
33,0,0,0,1,0,-1,-1,0,0.165
34,-1,-2,-2,-1,0,-1,-1,0,0.17
35,-2,0,-1,-2,-1,-1,-2,-2,0.17500000000000002
36,0,0,-3,-1,0,-3,-2,-2,0.18
37,-2,0,-2,-1,-2,0,0,-1,0.185
38,0,-1,0,-2,-1,-3,-2,0,0.19
39,0,1,-2,-2,-2,-1,-1,0,0.195
40,-1,-2,-1,0,-1,-1,0,1,0.2
41,-1,-3,-1,-4,-2,0,0,-1,0.20500000000000002
42,0,2,-1,0,-3,0,-1,-1,0.21
43,-1,-2,0,1,-1,0,-1,-2,0.215
44,-1,0,-2,-1,0,0,-1,-1,0.22
45,1,4,-1,-1,0,-1,-2,-1,0.225
46,-2,-2,1,-1,-1,-1,0,0,0.23
47,0,-1,-1,-1,0,-1,0,0,0.23500000000000001
48,0,-3,-1,0,-3,1,-2,0,0.24
49,-1,-5,-2,-2,-1,-1,-1,-2,0.245
50,1,-1,-1,0,2,0,0,0,0.25
51,1,0,0,0,-1,-1,-1,0,0.255
52,-1,-2,-1,-3,-1,0,1,-2,0.26
53,-1,0,-2,-2,-2,0,-1,-1,0.265
54,-1,-1,-1,-1,0,-3,-3,-1,0.27
55,-1,2,-2,-1,1,0,-2,-1,0.275
56,0,0,0,-1,-1,-1,1,0,0.28
57,-1,-2,1,-1,0,-2,-4,-3,0.28500000000000003
58,0,0,-1,0,0,-1,-1,-2,0.29
59,-1,-4,-1,0,0,0,0,0,0.295
60,-2,0,0,-1,0,0,-1,0,0.3
61,-1,0,0,1,0,0,0,-1,0.305
62,-3,-4,0,-1,-1,0,1,0,0.31
63,-1,-1,-2,-1,-2,-3,-1,1,0.315
64,1,0,-1,1,1,-1,1,-1,0.32
65,0,1,-1,-1,-2,0,1,1,0.325
66,0,-1,0,-1,1,0,1,0,0.33
67,3,13,2,0,1,0,0,1,0.335
68,-1,0,-1,0,-1,-2,-2,-3,0.34
69,-1,-1,-1,-1,-1,-2,-2,0,0.34500000000000003
70,-1,0,0,-1,-2,-1,-2,-1,0.35000000000000003
71,-1,-3,-1,-1,-1,-2,-2,-1,0.355
72,0,0,-1,0,-2,-1,-1,-1,0.36
73,-1,1,-1,-1,0,-1,-2,-2,0.365
74,-2,-2,-2,-1,-1,-1,1,-1,0.37
75,2,-5,-1,-1,-2,0,-1,-1,0.375
76,-3,-2,-2,-1,0,-1,0,-1,0.38
77,-1,-3,-2,-2,-2,-1,-1,0,0.385
78,-1,-1,-2,-1,-3,1,0,0,0.39
79,-2,-4,-1,-3,-1,-1,-1,-2,0.395
80,1,-2,-2,-1,0,-2,-1,0,0.4
81,-5,-2,-1,-1,0,-1,-2,0,0.405
82,2,0,-1,-1,0,-1,-1,0,0.41000000000000003
83,-1,-1,0,0,-2,0,1,-1,0.41500000000000004
84,-2,0,0,-1,-2,-2,-3,-1,0.42
85,1,1,0,-1,-1,0,0,-1,0.425
86,-1,-1,0,1,-1,-1,-1,-2,0.43
87,-1,-4,-2,0,-2,-1,0,-1,0.435
88,2,19,4,-2,0,-1,-1,0,0.44
89,-1,0,-1,0,-2,-1,1,0,0.445
90,0,0,1,1,1,-1,0,-2,0.45
91,0,-2,0,0,-2,-3,-1,1,0.455
